provider_league_id,season,team_id,team_name,team_country,venue_id,venue_name,venue_address,venue_city,nominal_capacity,surface_provider,operational_capacity,operational_capacity_status,roof_type,roof_state_default,enclosure_class,wind_exposure_class,acoustic_enclosure_class,pitch_orientation_deg,attendance_actual_source_status,attendance_expected_source_status,crowd_demand_source_status,override_valid_from,override_valid_to,override_evidence_status,override_source,override_notes,context_only,predictive_authority,betting_authority,projection_version
78,2026,168,Bayer Leverkusen,Germany,699,BayArena,Bismarckstr. 122-124,Leverkusen,30210,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
78,2026,157,Bayern München,Germany,700,Allianz Arena,Werner-Heisenberg-Allee 25,München,75024,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
78,2026,165,Borussia Dortmund,Germany,19381,SIGNAL IDUNA PARK,Strobelalle 50,Dortmund,81365,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
78,2026,163,Borussia Mönchengladbach,Germany,20471,BORUSSIA-PARK,Hennes-Weisweiler-Allee 1,Mönchengladbach,54057,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
78,2026,169,Eintracht Frankfurt,Germany,10491,Deutsche Bank Park,Mörfelder Landstr. 362,Frankfurt am Main,59500,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
78,2026,170,FC Augsburg,Germany,698,WWK Arena,Bürgermeister Ulrich-Straße 90,Augsburg,30662,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
78,2026,174,FC Schalke 04,Germany,741,VELTINS-Arena,Arenaring 1,Gelsenkirchen,62278,grass,,NOMINAL_ONLY,RETRACTABLE_FULL_PITCH_COVER,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,VERIFIED_DIRECT,config/pbk_venue_evidence.csv#VELTINS_RETRACTABLE_ROOF_2026,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
78,2026,164,FSV Mainz 05,Germany,11899,MEWA ARENA,Eugen-Salomon-Straße 1,Mainz,34034,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
78,2026,175,Hamburger SV,Germany,720,Volksparkstadion,Uwe-Seeler-Allee 9,Hamburg,57000,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
78,2026,173,RB Leipzig,Germany,738,Red Bull Arena,Am Sportforum 3,Leipzig,47800,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
78,2026,160,SC Freiburg,Germany,12717,Europa-Park Stadion,Achim-Stocker-Straße 1,Freiburg im Breisgau,34700,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
78,2026,185,SC Paderborn 07,Germany,18622,Home Deluxe Arena,Wilfried-Finke-Allee 1,Paderborn,15306,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
78,2026,1660,SV Elversberg,Germany,710,URSAPHARM-Arena an der Kaiserlinde,Lindenstraße 7,Spiesen-Elversberg,11150,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
78,2026,182,Union Berlin,Germany,748,Stadion An der Alten Försterei,"An der Wuhlheide 263, Köpenick",Berlin,22467,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
78,2026,172,VfB Stuttgart,Germany,20473,MHPArena,Mercedesstrasse 87,Stuttgart,60469,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
78,2026,162,Werder Bremen,Germany,22796,Weserstadion,Franz-Böhmert-Straße 1c,Bremen,42100,grass,,NOMINAL_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,NOT_CONNECTED,NOT_CONNECTED,NOT_AUTHORIZED,,,UNKNOWN,,,YES,NOT_AUTHORIZED,NOT_AUTHORIZED,PBK_VENUE_REGISTRY_V1
