api_fixture_id,league,league_id,captured_at_utc,kickoff_utc,home_team,away_team,bet_id,bet_name,open_b365_1x,open_b365_x2,open_b365_12,open_p_1x,open_p_x2,open_p_12,status,source
1561931,Austrian Bundesliga,218,2026-09-11T13:40:08Z,2026-09-19T17:30:00Z,Grazer AK,Austria Vienna,12,Double Chance,1.44,1.53,1.33,0.33070060,0.31124762,0.35805178,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1561933,Austrian Bundesliga,218,2026-09-11T13:40:08Z,2026-09-20T12:30:00Z,Ried,Wolfsberger AC,12,Double Chance,1.4,1.67,1.28,0.34105559,0.28591486,0.37302955,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1558626,Belgian Pro League,144,2026-09-11T13:40:08Z,2026-09-11T18:45:00Z,KV Mechelen,Anderlecht,12,Double Chance,2.0,1.22,1.28,0.23799073,0.39014874,0.37186052,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1558627,Belgian Pro League,144,2026-09-11T13:40:08Z,2026-09-12T14:00:00Z,SK Beveren,St. Truiden,12,Double Chance,1.67,1.36,1.3,0.28469292,0.34958616,0.36572091,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1558628,Belgian Pro League,144,2026-09-11T13:40:08Z,2026-09-12T16:15:00Z,KVC Westerlo,Standard Liege,12,Double Chance,1.5,1.53,1.3,0.31905679,0.31280077,0.36814244,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1558629,Belgian Pro League,144,2026-09-11T13:40:08Z,2026-09-12T18:45:00Z,OH Leuven,Cercle Brugge,12,Double Chance,1.5,1.5,1.3,0.31707317,0.31707317,0.36585366,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1558630,Belgian Pro League,144,2026-09-11T13:40:08Z,2026-09-12T18:45:00Z,Union St. Gilloise,Lommel United,12,Double Chance,1.05,4.0,1.12,0.45454545,0.11931818,0.42613636,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1558631,Belgian Pro League,144,2026-09-11T13:40:08Z,2026-09-13T11:30:00Z,Club Brugge KV,Antwerp,12,Double Chance,1.07,3.75,1.14,0.44965448,0.12830141,0.42204411,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1558632,Belgian Pro League,144,2026-09-11T13:40:08Z,2026-09-13T14:00:00Z,Genk,Gent,12,Double Chance,1.28,1.73,1.25,0.36180963,0.26769730,0.37049306,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1558633,Belgian Pro League,144,2026-09-11T13:40:08Z,2026-09-13T16:30:00Z,Zulte Waregem,Charleroi,12,Double Chance,1.44,1.5,1.3,0.32597793,0.31293882,0.36108325,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1558634,Belgian Pro League,144,2026-09-11T13:40:08Z,2026-09-13T17:15:00Z,RAAL La Louvière,Kortrijk,12,Double Chance,1.36,1.53,1.3,0.34071054,0.30285381,0.35643564,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1549016,Danish Superliga,119,2026-09-11T13:40:08Z,2026-09-11T17:00:00Z,FC Copenhagen,AC Horsens,12,Double Chance,1.08,3.25,1.17,0.44338336,0.14733970,0.40927694,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1549017,Danish Superliga,119,2026-09-11T13:40:08Z,2026-09-13T12:00:00Z,Lyngby,Sonderjyske,12,Double Chance,1.17,2.3,1.22,0.40523367,0.20614060,0.38862573,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1549021,Danish Superliga,119,2026-09-11T13:40:08Z,2026-09-13T12:00:00Z,Silkeborg,Viborg,12,Double Chance,1.95,1.25,1.22,0.24047938,0.37514784,0.38437278,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1549020,Danish Superliga,119,2026-09-11T13:40:08Z,2026-09-13T14:00:00Z,Randers FC,Odense,12,Double Chance,1.4,1.53,1.3,0.33422954,0.30583095,0.35993951,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1549019,Danish Superliga,119,2026-09-11T13:40:08Z,2026-09-13T16:00:00Z,FC Nordsjaelland,Aarhus,12,Double Chance,1.25,1.95,1.22,0.37514784,0.24047938,0.38437278,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1549018,Danish Superliga,119,2026-09-11T13:40:08Z,2026-09-14T17:00:00Z,FC Midtjylland,Brondby,12,Double Chance,1.25,1.91,1.25,0.37672584,0.24654832,0.37672584,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1547629,A Lyga,362,2026-09-11T13:40:08Z,2026-09-13T11:30:00Z,Panevėžys,Kauno Žalgiris,12,Double Chance,2.25,1.12,1.18,0.20342949,0.40867531,0.38789521,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1547631,A Lyga,362,2026-09-11T13:40:08Z,2026-09-13T14:00:00Z,Šiauliai,Hegelmann Litauen,12,Double Chance,1.44,1.44,1.25,0.31725888,0.31725888,0.36548223,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1547630,A Lyga,362,2026-09-11T13:40:08Z,2026-09-13T15:45:00Z,Suduva Marijampole,FK Zalgiris Vilnius,12,Double Chance,1.5,1.44,1.25,0.30848329,0.32133676,0.37017995,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1547633,A Lyga,362,2026-09-11T13:40:08Z,2026-09-14T15:45:00Z,Banga,TransINVEST Vilnius,12,Double Chance,1.44,1.44,1.25,0.31725888,0.31725888,0.36548223,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1515923,Virsliga,365,2026-09-11T13:40:08Z,2026-09-11T14:00:00Z,Ogre United,FK Liepaja,12,Double Chance,2.15,1.17,1.17,0.21389397,0.39305302,0.39305302,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1515921,Virsliga,365,2026-09-11T13:40:08Z,2026-09-11T15:00:00Z,Riga,Auda,12,Double Chance,1.08,2.75,1.12,0.42426580,0.16662075,0.40911345,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1515920,Virsliga,365,2026-09-11T13:40:08Z,2026-09-12T11:00:00Z,Grobiņa,FS Jelgava,12,Double Chance,1.44,1.4,1.28,0.31710079,0.32616082,0.35673839,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1515922,Virsliga,365,2026-09-11T13:40:08Z,2026-09-13T11:00:00Z,BFC Daugavpils,Rīgas FS,12,Double Chance,3.2,1.06,1.11,0.14489077,0.43740610,0.41770313,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1552162,Eredivisie,88,2026-09-11T13:40:08Z,2026-09-11T18:00:00Z,AZ Alkmaar,Willem II,12,Double Chance,1.03,5.5,1.08,0.46707660,0.08747071,0.44545269,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1552163,Eredivisie,88,2026-09-11T13:40:08Z,2026-09-12T14:30:00Z,Twente,ADO Den Haag,12,Double Chance,1.06,3.75,1.1,0.44517591,0.12583639,0.42898770,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1552164,Eredivisie,88,2026-09-11T13:40:08Z,2026-09-12T16:45:00Z,GO Ahead Eagles,Groningen,12,Double Chance,1.4,1.62,1.22,0.33203414,0.28694308,0.38102278,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1552165,Eredivisie,88,2026-09-11T13:40:08Z,2026-09-12T18:00:00Z,Fortuna Sittard,Ajax,12,Double Chance,2.62,1.14,1.17,0.18058489,0.41502843,0.40438668,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1552168,Eredivisie,88,2026-09-11T13:40:08Z,2026-09-12T19:00:00Z,Cambuur,NEC Nijmegen,12,Double Chance,2.38,1.17,1.17,0.19730185,0.40134907,0.40134907,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1552167,Eredivisie,88,2026-09-11T13:40:08Z,2026-09-13T10:15:00Z,Excelsior,Utrecht,12,Double Chance,1.36,1.67,1.25,0.34454586,0.28058825,0.37486590,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1552166,Eredivisie,88,2026-09-11T13:40:08Z,2026-09-13T12:30:00Z,Heerenveen,Telstar,12,Double Chance,1.18,2.3,1.18,0.39792388,0.20415225,0.39792388,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1552170,Eredivisie,88,2026-09-11T13:40:08Z,2026-09-13T14:45:00Z,PEC Zwolle,Feyenoord,12,Double Chance,2.62,1.14,1.17,0.18058489,0.41502843,0.40438668,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1552169,Eredivisie,88,2026-09-11T13:40:08Z,2026-09-13T18:00:00Z,PSV Eindhoven,Sparta Rotterdam,12,Double Chance,1.04,4.5,1.1,0.45943939,0.10618155,0.43437906,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1552143,Eredivisie,88,2026-09-11T13:40:08Z,2026-09-15T18:00:00Z,Ajax,Willem II,12,Double Chance,1.05,5.0,1.1,0.46199076,0.09701806,0.44099118,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1494760,Eliteserien,103,2026-09-11T13:40:08Z,2026-09-12T14:00:00Z,Lillestrom,Valerenga,12,Double Chance,1.25,1.91,1.25,0.37672584,0.24654832,0.37672584,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1494761,Eliteserien,103,2026-09-11T13:40:08Z,2026-09-12T16:00:00Z,Rosenborg,Tromso,12,Double Chance,1.18,2.1,1.25,0.39905746,0.22423229,0.37671025,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1494763,Eliteserien,103,2026-09-11T13:40:08Z,2026-09-13T12:30:00Z,Viking,Kristiansund BK,12,Double Chance,1.08,3.75,1.11,0.44228746,0.12737879,0.43033375,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1494762,Eliteserien,103,2026-09-11T13:40:08Z,2026-09-13T15:00:00Z,Start,Brann,12,Double Chance,1.8,1.28,1.25,0.25999350,0.36561586,0.37439064,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1494759,Eliteserien,103,2026-09-11T13:40:08Z,2026-09-13T15:00:00Z,KFUM Oslo,Aalesund,12,Double Chance,1.4,1.67,1.28,0.34105559,0.28591486,0.37302955,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1494758,Eliteserien,103,2026-09-11T13:40:08Z,2026-09-13T15:00:00Z,Ham-Kam,Molde,12,Double Chance,2.05,1.22,1.22,0.22932331,0.38533835,0.38533835,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1494757,Eliteserien,103,2026-09-11T13:40:08Z,2026-09-13T17:15:00Z,Fredrikstad,Sarpsborg 08 FF,12,Double Chance,1.44,1.53,1.28,0.32613909,0.30695444,0.36690647,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1494756,Eliteserien,103,2026-09-11T13:40:08Z,2026-09-14T17:00:00Z,Bodo/Glimt,Sandefjord,12,Double Chance,1.04,5.0,1.08,0.46062509,0.09581002,0.44356490,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1553168,Ekstraklasa,106,2026-09-11T13:40:08Z,2026-09-11T16:00:00Z,Raków Częstochowa,Motor Lublin,12,Double Chance,1.22,1.91,1.25,0.38244670,0.24428533,0.37326798,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1553170,Ekstraklasa,106,2026-09-11T13:40:08Z,2026-09-11T18:30:00Z,Wisla Krakow,Jagiellonia,12,Double Chance,1.4,1.67,1.28,0.34105559,0.28591486,0.37302955,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1553169,Ekstraklasa,106,2026-09-11T13:40:08Z,2026-09-12T12:45:00Z,Slask Wroclaw,Korona Kielce,12,Double Chance,1.5,1.5,1.33,0.31971154,0.31971154,0.36057692,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1553164,Ekstraklasa,106,2026-09-11T13:40:08Z,2026-09-12T15:30:00Z,Gornik Zabrze,Lech Poznan,12,Double Chance,1.57,1.4,1.3,0.30037960,0.33685427,0.36276613,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
1553172,Ekstraklasa,106,2026-09-11T13:40:08Z,2026-09-12T18:15:00Z,Zaglebie Lubin,GKS Katowice,12,Double Chance,1.5,1.5,1.33,0.31971154,0.31971154,0.36057692,FROZEN,API-Football Bet365 first complete Double Chance triplet captured prospectively
