forward_id,rule,api_fixture_id,captured_at_utc,fixture_status,current_kickoff_utc,minutes_to_kickoff,selection,best_odds,best_book,bet365_odds,user_best_odds,user_best_book,user_allowlist_configured,api_odds_update_utc
R1|I1|1550124,R1,1550124,2026-09-12T15:41:50Z,NS,2026-09-13T18:45:00Z,1623.2,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T13:25:18+00:00
R1|I1|1550125,R1,1550125,2026-09-12T15:41:50Z,NS,2026-09-14T16:30:00Z,2928.2,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-12T13:25:18+00:00
R1|I1|1550131,R1,1550131,2026-09-12T15:41:50Z,NS,2026-09-20T13:00:00Z,11358.2,Away,1.63,1xBet,1.55,1.59,Marathonbet,YES,2026-09-12T13:25:18+00:00
R1|I1|1550124,R1,1550124,2026-09-12T16:42:49Z,NS,2026-09-13T18:45:00Z,1562.2,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T13:25:18+00:00
R1|I1|1550125,R1,1550125,2026-09-12T16:42:49Z,NS,2026-09-14T16:30:00Z,2867.2,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-12T13:25:18+00:00
R1|I1|1550131,R1,1550131,2026-09-12T16:42:49Z,NS,2026-09-20T13:00:00Z,11297.2,Away,1.63,1xBet,1.55,1.59,Marathonbet,YES,2026-09-12T13:25:18+00:00
R1|I1|1550124,R1,1550124,2026-09-12T17:41:15Z,NS,2026-09-13T18:45:00Z,1503.8,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T13:25:18+00:00
R1|I1|1550125,R1,1550125,2026-09-12T17:41:15Z,NS,2026-09-14T16:30:00Z,2808.8,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-12T13:25:18+00:00
R1|I1|1550131,R1,1550131,2026-09-12T17:41:15Z,NS,2026-09-20T13:00:00Z,11238.8,Away,1.63,1xBet,1.55,1.59,Marathonbet,YES,2026-09-12T13:25:18+00:00
R1|I1|1550124,R1,1550124,2026-09-12T18:43:21Z,NS,2026-09-13T18:45:00Z,1441.7,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T17:23:16+00:00
R1|I1|1550125,R1,1550125,2026-09-12T18:43:21Z,NS,2026-09-14T16:30:00Z,2746.7,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-12T17:23:16+00:00
R1|I1|1550131,R1,1550131,2026-09-12T18:43:21Z,NS,2026-09-20T13:00:00Z,11176.6,Away,1.63,1xBet,1.55,1.59,Marathonbet,YES,2026-09-12T17:23:16+00:00
R1|I1|1550124,R1,1550124,2026-09-12T19:41:57Z,NS,2026-09-13T18:45:00Z,1383.0,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T17:23:16+00:00
R1|I1|1550125,R1,1550125,2026-09-12T19:41:57Z,NS,2026-09-14T16:30:00Z,2688.1,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-12T17:23:16+00:00
R1|I1|1550131,R1,1550131,2026-09-12T19:41:57Z,NS,2026-09-20T13:00:00Z,11118.0,Away,1.63,1xBet,1.55,1.59,Marathonbet,YES,2026-09-12T17:23:16+00:00
R1|I1|1550124,R1,1550124,2026-09-12T20:45:21Z,NS,2026-09-13T18:45:00Z,1319.7,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T17:23:16+00:00
R1|I1|1550125,R1,1550125,2026-09-12T20:45:21Z,NS,2026-09-14T16:30:00Z,2624.7,Away,1.62,1xBet,1.57,1.58,Marathonbet,YES,2026-09-12T17:23:16+00:00
R1|I1|1550131,R1,1550131,2026-09-12T20:45:21Z,NS,2026-09-20T13:00:00Z,11054.6,Away,1.63,1xBet,1.55,1.59,Marathonbet,YES,2026-09-12T17:23:16+00:00
R1|I1|1550124,R1,1550124,2026-09-12T21:42:20Z,NS,2026-09-13T18:45:00Z,1262.7,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T17:23:16+00:00
R1|I1|1550125,R1,1550125,2026-09-12T21:42:20Z,NS,2026-09-14T16:30:00Z,2567.7,Away,1.61,1xBet,1.57,1.57,Marathonbet,YES,2026-09-12T21:21:15+00:00
R1|I1|1550131,R1,1550131,2026-09-12T21:42:20Z,NS,2026-09-20T13:00:00Z,10997.7,Away,1.63,1xBet,1.55,1.59,Marathonbet,YES,2026-09-12T21:21:15+00:00
R1|I1|1550124,R1,1550124,2026-09-12T22:44:04Z,NS,2026-09-13T18:45:00Z,1200.9,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T17:23:16+00:00
R1|I1|1550125,R1,1550125,2026-09-12T22:44:04Z,NS,2026-09-14T16:30:00Z,2505.9,Away,1.61,1xBet,1.57,1.57,Marathonbet,YES,2026-09-12T21:21:15+00:00
R1|I1|1550131,R1,1550131,2026-09-12T22:44:04Z,NS,2026-09-20T13:00:00Z,10935.9,Away,1.63,1xBet,1.55,1.59,Marathonbet,YES,2026-09-12T21:21:15+00:00
R1|I1|1550124,R1,1550124,2026-09-12T23:41:06Z,NS,2026-09-13T18:45:00Z,1143.9,Away,1.69,1xBet,1.62,1.66,Marathonbet,YES,2026-09-12T17:23:16+00:00
R1|I1|1550125,R1,1550125,2026-09-12T23:41:06Z,NS,2026-09-14T16:30:00Z,2448.9,Away,1.61,1xBet,1.57,1.57,Marathonbet,YES,2026-09-12T21:21:15+00:00
R1|I1|1550131,R1,1550131,2026-09-12T23:41:06Z,NS,2026-09-20T13:00:00Z,10878.9,Away,1.63,1xBet,1.55,1.59,Marathonbet,YES,2026-09-12T21:21:15+00:00
