settlement_key,market_family,api_fixture_id,league,league_id,kickoff_utc,settled_at_utc,home_team,away_team,market_key,line,team_side,final_home_goals,final_away_goals,selection_a,selection_b,selection_c,result_a,result_b,result_c,bet365_close_a,bet365_close_b,bet365_close_c,marathon_close_a,marathon_close_b,marathon_close_c,bet365_pnl_a,bet365_pnl_b,bet365_pnl_c,marathon_pnl_a,marathon_pnl_b,marathon_pnl_c,fixture_status,settlement_status,note
EUROPEAN_HANDICAP|EH|1553168|-2,EUROPEAN_HANDICAP,1553168,Ekstraklasa,106,2026-09-11T16:00:00Z,2026-09-11T18:48:11Z,Raków Częstochowa,Motor Lublin,EH|1553168|-2,-2,,2,1,HOME,DRAW,AWAY,LOSS,LOSS,WIN,6.5,5.5,1.33,5.8,5.4,1.28,-1.000000,-1.000000,0.330000,-1.000000,-1.000000,0.280000,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
EUROPEAN_HANDICAP|EH|1553168|-1,EUROPEAN_HANDICAP,1553168,Ekstraklasa,106,2026-09-11T16:00:00Z,2026-09-11T18:48:11Z,Raków Częstochowa,Motor Lublin,EH|1553168|-1,-1,,2,1,HOME,DRAW,AWAY,LOSS,WIN,LOSS,3.2,4.0,1.91,3.08,3.84,1.83,-1.000000,3.000000,-1.000000,-1.000000,2.840000,-1.000000,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
EUROPEAN_HANDICAP|EH|1553168|+1,EUROPEAN_HANDICAP,1553168,Ekstraklasa,106,2026-09-11T16:00:00Z,2026-09-11T18:48:11Z,Raków Częstochowa,Motor Lublin,EH|1553168|+1,+1,,2,1,HOME,DRAW,AWAY,WIN,LOSS,LOSS,1.25,5.5,7.5,1.26,5.3,6.65,0.250000,-1.000000,-1.000000,0.260000,-1.000000,-1.000000,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
EUROPEAN_HANDICAP|EH|1553168|+2,EUROPEAN_HANDICAP,1553168,Ekstraklasa,106,2026-09-11T16:00:00Z,2026-09-11T18:48:11Z,Raków Częstochowa,Motor Lublin,EH|1553168|+2,+2,,2,1,HOME,DRAW,AWAY,WIN,LOSS,LOSS,1.08,11.0,17.0,,,,0.080000,-1.000000,-1.000000,,,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
DRAW_NO_BET|1515921,DRAW_NO_BET,1515921,Virsliga,365,2026-09-11T15:00:00Z,2026-09-11T18:48:11Z,Riga,Auda,,0,,2,2,F1(0),F2(0),,PUSH,PUSH,,1.15,5.5,,1.07,5.85,,0.000000,0.000000,,0.000000,0.000000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
DRAW_NO_BET|1553168,DRAW_NO_BET,1553168,Ekstraklasa,106,2026-09-11T16:00:00Z,2026-09-11T18:48:11Z,Raków Częstochowa,Motor Lublin,,0,,2,1,F1(0),F2(0),,WIN,LOSS,,1.45,2.68,,1.4,2.56,,0.450000,-1.000000,,0.400000,-1.000000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1575164|H|0.5,TEAM_TOTAL,1575164,Bundesliga,78,2026-09-11T18:30:00Z,2026-09-11T20:47:13Z,Union Berlin,FC Schalke 04,TT|1575164|H|0.5,0.5,H,1,3,OVER,UNDER,,WIN,LOSS,,1.2,4.33,,,,,0.200000,-1.000000,,,,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1575164|H|1.5,TEAM_TOTAL,1575164,Bundesliga,78,2026-09-11T18:30:00Z,2026-09-11T20:47:13Z,Union Berlin,FC Schalke 04,TT|1575164|H|1.5,1.5,H,1,3,OVER,UNDER,,LOSS,WIN,,2.0,1.73,,2.0,1.82,,-1.000000,0.730000,,-1.000000,0.820000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1575164|H|2.5,TEAM_TOTAL,1575164,Bundesliga,78,2026-09-11T18:30:00Z,2026-09-11T20:47:13Z,Union Berlin,FC Schalke 04,TT|1575164|H|2.5,2.5,H,1,3,OVER,UNDER,,LOSS,WIN,,4.33,1.2,,4.2,1.21,,-1.000000,0.200000,,-1.000000,0.210000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1575164|H|3.5,TEAM_TOTAL,1575164,Bundesliga,78,2026-09-11T18:30:00Z,2026-09-11T20:47:13Z,Union Berlin,FC Schalke 04,TT|1575164|H|3.5,3.5,H,1,3,OVER,UNDER,,LOSS,WIN,,11.0,1.05,,9.9,1.02,,-1.000000,0.050000,,-1.000000,0.020000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1575164|H|4.5,TEAM_TOTAL,1575164,Bundesliga,78,2026-09-11T18:30:00Z,2026-09-11T20:47:13Z,Union Berlin,FC Schalke 04,TT|1575164|H|4.5,4.5,H,1,3,OVER,UNDER,,LOSS,WIN,,26.0,1.01,,,,,-1.000000,0.010000,,,,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1575164|A|0.5,TEAM_TOTAL,1575164,Bundesliga,78,2026-09-11T18:30:00Z,2026-09-11T20:47:13Z,Union Berlin,FC Schalke 04,TT|1575164|A|0.5,0.5,A,1,3,OVER,UNDER,,WIN,LOSS,,1.22,4.0,,1.22,3.82,,0.220000,-1.000000,,0.220000,-1.000000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1575164|A|1.5,TEAM_TOTAL,1575164,Bundesliga,78,2026-09-11T18:30:00Z,2026-09-11T20:47:13Z,Union Berlin,FC Schalke 04,TT|1575164|A|1.5,1.5,A,1,3,OVER,UNDER,,WIN,LOSS,,2.1,1.67,,2.2,1.68,,1.100000,-1.000000,,1.200000,-1.000000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1575164|A|2.5,TEAM_TOTAL,1575164,Bundesliga,78,2026-09-11T18:30:00Z,2026-09-11T20:47:13Z,Union Berlin,FC Schalke 04,TT|1575164|A|2.5,2.5,A,1,3,OVER,UNDER,,WIN,LOSS,,5.0,1.17,,4.95,1.16,,4.000000,-1.000000,,3.950000,-1.000000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1575164|A|3.5,TEAM_TOTAL,1575164,Bundesliga,78,2026-09-11T18:30:00Z,2026-09-11T20:47:13Z,Union Berlin,FC Schalke 04,TT|1575164|A|3.5,3.5,A,1,3,OVER,UNDER,,LOSS,WIN,,13.0,1.04,,,,,-1.000000,0.040000,,,,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1575164|A|4.5,TEAM_TOTAL,1575164,Bundesliga,78,2026-09-11T18:30:00Z,2026-09-11T20:47:13Z,Union Berlin,FC Schalke 04,TT|1575164|A|4.5,4.5,A,1,3,OVER,UNDER,,LOSS,WIN,,29.0,1.01,,,,,-1.000000,0.010000,,,,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1561926|H|0.5,TEAM_TOTAL,1561926,Austrian Bundesliga,218,2026-09-11T17:30:00Z,2026-09-11T20:47:13Z,Ried,Red Bull Salzburg,TT|1561926|H|0.5,0.5,H,1,1,OVER,UNDER,,WIN,LOSS,,1.44,2.62,,1.42,2.61,,0.440000,-1.000000,,0.420000,-1.000000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1561926|H|1.5,TEAM_TOTAL,1561926,Austrian Bundesliga,218,2026-09-11T17:30:00Z,2026-09-11T20:47:13Z,Ried,Red Bull Salzburg,TT|1561926|H|1.5,1.5,H,1,1,OVER,UNDER,,LOSS,WIN,,3.25,1.33,,3.1,1.34,,-1.000000,0.330000,,-1.000000,0.340000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1561926|H|2.5,TEAM_TOTAL,1561926,Austrian Bundesliga,218,2026-09-11T17:30:00Z,2026-09-11T20:47:13Z,Ried,Red Bull Salzburg,TT|1561926|H|2.5,2.5,H,1,1,OVER,UNDER,,LOSS,WIN,,10.0,1.06,,7.8,1.04,,-1.000000,0.060000,,-1.000000,0.040000,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
TEAM_TOTAL|TT|1561926|H|3.5,TEAM_TOTAL,1561926,Austrian Bundesliga,218,2026-09-11T17:30:00Z,2026-09-11T20:47:13Z,Ried,Red Bull Salzburg,TT|1561926|H|3.5,3.5,H,1,1,OVER,UNDER,,LOSS,WIN,,26.0,1.01,,,,,-1.000000,0.010000,,,,,FT,SETTLED,Prospective observed-close research settlement; not proof of a placed bet
