event_id,fixture_id,provider_league_id,league_name,season,round,kickoff_utc,observed_at_utc,elapsed,extra,team_id,team_name,player_id,player_name,assist_id,assist_name,event_type,detail,comments,source,archive_version,research_only,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
33b16bfa4cbcefd8f8286d4c406fe261c4b73e9a0ae637596e65313cf3503ba3,1552173,88,Eredivisie,2026,Regular Season - 7,2026-09-18T18:00:00+00:00,2026-09-18T20:51:05Z,61,,193,PEC Zwolle,8764,Dylan Mbayo,474376,Gabriel Reiziger,subst,Substitution 2,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
33c580f852ab47828fcb080744d3f474355d499976659703d54dfd8766ffbb41,1561935,218,Bundesliga,2026,Regular Season - 7,2026-09-18T17:30:00+00:00,2026-09-18T20:51:05Z,90,,781,Rapid Vienna,24791,Jannes Horn,,,Card,Yellow Card,Time Wasting,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
344f03a7f4c132e78306112a90462994d4a01a17d360d0d56ac6d40bdb328598,1552173,88,Eredivisie,2026,Regular Season - 7,2026-09-18T18:00:00+00:00,2026-09-18T20:51:05Z,28,,193,PEC Zwolle,322929,Ibrahim Cissoko,133246,Elias Sörensen,subst,Substitution 1,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
355e46c0733641bae19d37f13ee9428d141d7d60f7e18416dfcb21f9e9be78c4,1575167,78,Bundesliga,2026,Regular Season - 4,2026-09-18T18:30:00+00:00,2026-09-18T20:51:05Z,78,,182,Union Berlin,430354,Livan Burcu,,,Card,Yellow Card,Foul,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
35c562247e757fcc9b7753b96fcc86de29fc121fb9c6ec96fc2799efdc3d1808,1558635,144,Jupiler Pro League,2026,Regular Season - 7,2026-09-18T18:45:00+00:00,2026-09-18T22:50:46Z,71,,631,Gent,299972,Mathias Delorge,20144,Leonardo Da Silva Lopes,subst,Substitution 3,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
36768959828c5abfcc824aa7d449b31c3e0ac5259b01e15370d6e8e5c5152c7b,1494768,103,Eliteserien,2026,Regular Season - 22,2026-09-18T17:00:00+00:00,2026-09-18T20:51:05Z,73,,2143,KFUM Oslo,314290,Bjorn Martin Kristensen,318233,Julian Bakkeli Gonstad,subst,Substitution 3,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
37f30e4e2b9c4a5bfd8753fb2e5c421ba4b94d8111d31ae7937bb65bba006e00,1570397,140,La Liga,2026,Regular Season - 7,2026-09-18T19:00:00+00:00,2026-09-18T22:50:46Z,60,,797,Elche,46982,Gonzalo Villar,47378,Pedro Bigas,subst,Substitution 2,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
382a7203f199da4bd20595c678a0449bb1eee96fe6b8abcabeeb307b123c332e,1575167,78,Bundesliga,2026,Regular Season - 4,2026-09-18T18:30:00+00:00,2026-09-18T20:51:05Z,60,,182,Union Berlin,512,Woo-Yeong Jeong,430354,Livan Burcu,subst,Substitution 3,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
39012cd4c7b4ec0050428b180890453f8531b2a65f3285ec58a1fd3e650dca40,1553180,106,Ekstraklasa,2026,Regular Season - 9,2026-09-18T18:30:00+00:00,2026-09-18T20:51:05Z,69,,337,Slask Wroclaw,52720,Jorge Yriarte,280320,Eniss Shabani,subst,Substitution 3,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
39a819fb186b2409ae68adf17acaee47d4230cd54988437064dbe30a5cc05226,1549024,119,Superliga,2026,Regular Season - 9,2026-09-18T17:00:00+00:00,2026-09-18T20:51:05Z,76,,2073,Silkeborg,331680,Oliver Ross,128875,Sofus Berger,subst,Substitution 2,,API-Football /fixtures/events,PBK_STAGE80_MATCH_EVENT_ARCHIVE_V1,true,false,false,false,false,false
