international_fixture_id,international_kickoff_utc,window_id,national_team_id,national_team_name,player_id,player_name,pbk16_team_id,pbk16_team_name,pbk16_provider_league_id,appearance_confirmed,minutes_confirmed,confirmed_minutes,window_direct_evidence_fixture_count_through_event,window_confirmed_appearances_through_event,window_minutes_confirmed_fixture_count_through_event,window_confirmed_minutes_through_event,next_domestic_fixture_id,next_domestic_kickoff_utc,next_domestic_home_team_id,next_domestic_home_team,next_domestic_away_team_id,next_domestic_away_team,club_side,opponent_team_id,opponent_team,hours_to_next_domestic_fixture,days_to_next_domestic_fixture,return_within_72h,return_within_96h,return_within_7d,return_fixture_status,return_fixture_played_only,formal_callup_inferred,travel_inferred,current_club_used,fuzzy_matching_used,provider_calls,research_only,operational_betting_authority,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
1366325,2025-11-18T19:45:00+00:00,2025_NOV,21,Denmark,288006,Rasmus Højlund,492,Napoli,135,true,true,84,1,1,1,84,1377979,2025-11-22T19:45:00+00:00,492,Napoli,499,Atalanta,HOME,499,Atalanta,96.000,4.0000,false,true,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1366323,2025-11-17T19:45:00+00:00,2025_NOV,1118,Netherlands,544,Noa Lang,492,Napoli,135,true,true,11,1,1,1,11,1377979,2025-11-22T19:45:00+00:00,492,Napoli,499,Atalanta,HOME,499,Atalanta,120.000,5.0000,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1486560,2025-11-18T19:00:00+00:00,2025_NOV,31,Morocco,290740,Ilias Akhomach,533,Villarreal,140,true,true,15,1,1,1,15,1390948,2025-11-22T20:00:00+00:00,533,Villarreal,798,Mallorca,HOME,798,Mallorca,97.000,4.0417,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1486542,2025-11-17T16:30:00+00:00,2025_NOV,1522,Zimbabwe,354267,Munashe Garananga,400,FC Copenhagen,119,true,true,90,1,1,1,90,1379439,2025-11-23T11:00:00+00:00,400,FC Copenhagen,407,Brondby,HOME,407,Brondby,138.500,5.7708,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323371,2025-11-18T19:45:00+00:00,2025_NOV,775,Austria,25297,Michael Gregoritsch,407,Brondby,119,true,true,31,1,1,1,31,1379439,2025-11-23T11:00:00+00:00,400,FC Copenhagen,407,Brondby,AWAY,400,FC Copenhagen,111.250,4.6354,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1366323,2025-11-17T19:45:00+00:00,2025_NOV,1118,Netherlands,38747,Quinten Timber,209,Feyenoord,88,true,true,26,1,1,1,26,1380977,2025-11-23T13:30:00+00:00,209,Feyenoord,413,NEC Nijmegen,HOME,413,NEC Nijmegen,137.750,5.7396,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1481800,2025-11-18T16:00:00+00:00,2025_NOV,1567,Iraq,284295,Zidane Iqbal,207,Utrecht,88,true,true,34,1,1,1,34,1380983,2025-11-23T13:30:00+00:00,427,Telstar,207,Utrecht,AWAY,427,Telstar,117.500,4.8958,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323362,2025-11-16T17:00:00+00:00,2025_NOV,14,Serbia,301763,Petar Ratkov,571,Red Bull Salzburg,218,false,false,,1,0,0,0,1390103,2025-11-23T13:30:00+00:00,571,Red Bull Salzburg,1398,WSG Wattens,HOME,1398,WSG Wattens,164.500,6.8542,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323371,2025-11-18T19:45:00+00:00,2025_NOV,1113,Bosnia & Herzegovina,395559,Kerim Alajbegović,571,Red Bull Salzburg,218,true,true,11,1,1,1,11,1390103,2025-11-23T13:30:00+00:00,571,Red Bull Salzburg,1398,WSG Wattens,HOME,1398,WSG Wattens,113.750,4.7396,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
1323369,2025-11-18T19:45:00+00:00,2025_NOV,1117,Greece,1600,Konstantinos Tsimikas,497,AS Roma,135,true,true,90,1,1,1,90,1377975,2025-11-23T14:00:00+00:00,520,Cremonese,497,AS Roma,AWAY,520,Cremonese,114.250,4.7604,false,false,true,FT,true,false,false,false,false,0,true,false,false,false,false,false,false
