market_key,api_fixture_id,league,league_id,captured_at_utc,kickoff_utc,home_team,away_team,team_side,team_name,line,bet_id,bet_name,open_b365_over,open_b365_under,open_p_over,open_p_under,status,source
TT|1557406|H|2.5,1557406,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T16:30:00Z,Tottenham,Everton,H,Tottenham,2.5,16,Total - Home,4.0,1.22,0.23371648,0.76628352,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557406|H|3.5,1557406,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T16:30:00Z,Tottenham,Everton,H,Tottenham,3.5,16,Total - Home,11.0,1.05,0.08713693,0.91286307,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557406|H|4.5,1557406,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T16:30:00Z,Tottenham,Everton,H,Tottenham,4.5,16,Total - Home,26.0,1.01,0.03739356,0.96260644,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557406|A|0.5,1557406,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T16:30:00Z,Tottenham,Everton,A,Everton,0.5,17,Total - Away,1.4,2.75,0.66265060,0.33734940,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557406|A|1.5,1557406,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T16:30:00Z,Tottenham,Everton,A,Everton,1.5,17,Total - Away,3.0,1.36,0.31192661,0.68807339,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557406|A|2.5,1557406,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T16:30:00Z,Tottenham,Everton,A,Everton,2.5,17,Total - Away,9.0,1.07,0.10625621,0.89374379,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557406|A|3.5,1557406,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T16:30:00Z,Tottenham,Everton,A,Everton,3.5,17,Total - Away,23.0,1.01,0.04206581,0.95793419,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557405|H|0.5,1557405,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T19:00:00Z,Sunderland,Arsenal,H,Sunderland,0.5,16,Total - Home,1.83,1.83,0.50000000,0.50000000,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557405|H|1.5,1557405,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T19:00:00Z,Sunderland,Arsenal,H,Sunderland,1.5,16,Total - Home,6.0,1.12,0.15730337,0.84269663,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
TT|1557405|H|2.5,1557405,Premier League,39,2026-09-11T13:29:19Z,2026-09-12T19:00:00Z,Sunderland,Arsenal,H,Sunderland,2.5,16,Total - Home,21.0,1.01,0.04588823,0.95411177,FROZEN,API-Football Bet365 first complete GOAL team-total pair captured prospectively
