player_id,latest_international_player_name,international_evidence_rows,international_fixture_count,international_team_count,international_team_ids,international_team_names,first_international_kickoff_utc,last_international_kickoff_utc,appearance_fixture_count,minutes_confirmed_fixture_count,confirmed_minutes_total,substitute_appearance_fixture_count,pbk_catalog_match_status,pbk_catalog_identity_method,pbk_latest_observed_name,pbk_latest_observed_position,pbk_first_seen_at_utc,pbk_last_seen_at_utc,pbk_has_roster_evidence,pbk_has_match_stats_evidence,pbk_latest_roster_team_ids,pbk_latest_roster_team_names,transfermarkt_identity_status,transfermarkt_player_id,transfermarkt_player_name,transfermarkt_mapping_method,transfermarkt_mapping_confidence,transfermarkt_match_status,club_at_fixture_date_status,identity_contract,fuzzy_matching_used,name_used_for_identity,provider_calls,research_only,operational_betting_authority,creates_signal,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
358628,Samu Aghehowa,1,1,1,9,Spain,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,1,1,28,1,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
364600,Isak Vural,1,1,1,777,Türkiye,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,0,0,0,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
368159,Kristiyan Stoyanov,1,1,1,1103,Bulgaria,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,1,1,76,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
369413,Mohammed Sulaiman,1,1,1,23,Saudi Arabia,2025-11-18T16:30:00+00:00,2025-11-18T16:30:00+00:00,0,1,0,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
369773,Emanuel Zünd,1,1,1,1107,Liechtenstein,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,1,1,72,1,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
371790,Maximiliano Gutiérrez,1,1,1,2383,Chile,2025-11-18T17:00:00+00:00,2025-11-18T17:00:00+00:00,0,0,0,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
373418,Lindon Emërllahu,1,1,1,1111,Kosovo,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,0,0,0,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
373591,Agustín Arce,1,1,1,2383,Chile,2025-11-18T17:00:00+00:00,2025-11-18T17:00:00+00:00,0,0,0,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
375974,Joaquin Seys,1,1,1,1,Belgium,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,0,0,0,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
379621,Joel Colwill,1,1,1,767,Wales,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,0,0,0,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
380587,Ibrahim Maza,1,1,1,1532,Algeria,2025-11-18T16:30:00+00:00,2025-11-18T16:30:00+00:00,0,0,0,0,EXACT_ID_MATCH,API_FOOTBALL_PLAYER_ID_EXACT,I. Maza,Midfielder,2026-09-18T02:26:09Z,2026-09-18T02:26:09Z,YES,NO,168,Bayer Leverkusen,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
381176,Marwan Alsahafi,1,1,1,23,Saudi Arabia,2025-11-18T16:30:00+00:00,2025-11-18T16:30:00+00:00,0,0,0,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
382452,Patrick Dorgu,1,1,1,21,Denmark,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,1,1,90,0,EXACT_ID_MATCH,API_FOOTBALL_PLAYER_ID_EXACT,P. Dorgu,Defender,2026-09-18T02:26:09Z,2026-09-18T02:26:09Z,YES,NO,33,Manchester United,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
387683,Hilary Mukundane,1,1,1,1519,Uganda,2025-11-18T19:00:00+00:00,2025-11-18T19:00:00+00:00,1,1,90,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
388570,Deniz Gül,1,1,1,777,Türkiye,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,1,1,69,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
388872,Victor Froholdt,1,1,1,21,Denmark,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,1,1,90,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
392482,Charalampos Kostoulas,1,1,1,1117,Greece,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,1,1,26,1,EXACT_ID_MATCH,API_FOOTBALL_PLAYER_ID_EXACT,C. Kostoulas,Attacker,2026-09-17T00:31:21Z,2026-09-17T00:31:21Z,YES,NO,51,Brighton,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
392514,Christos Mouzakitis,1,1,1,1117,Greece,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,0,0,0,0,EXACT_ID_MATCH,API_FOOTBALL_PLAYER_ID_EXACT,C. Mouzakitis,Midfielder,2026-09-17T00:31:21Z,2026-09-17T00:31:21Z,YES,NO,64,Hull City,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
394189,Nicolas Giacopetti,1,1,1,1115,San Marino,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,1,1,75,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
394191,Gabriel Capicchioni,1,1,1,1115,San Marino,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,1,1,3,1,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
394219,Alberto Riccardi,1,1,1,1115,San Marino,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,1,1,90,0,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
394902,Ronan Kpakio,1,1,1,767,Wales,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,1,1,8,1,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
394925,Trofim Melnichenko,1,1,1,1100,Belarus,2025-11-18T19:45:00+00:00,2025-11-18T19:45:00+00:00,1,1,45,1,UNMATCHED,,,,,,,,,,UNMAPPED,,,,,,NOT_DERIVED,EXACT_API_FOOTBALL_PLAYER_ID,false,false,0,true,false,false,false,false,false,false
