competition_role,country,slot,provider_competition_id,competition_name,season,provider_season_available,status,attempt_count,last_attempt_at_utc,provider_fixture_rows,error
DOMESTIC_CUP,England,NATIONAL_CUP,45,FA Cup,2023,true,CAPTURED,1,2026-09-19T07:57:04Z,879,
DOMESTIC_CUP,England,NATIONAL_CUP,45,FA Cup,2024,true,CAPTURED,1,2026-09-19T07:57:06Z,873,
DOMESTIC_CUP,England,NATIONAL_CUP,45,FA Cup,2025,true,CAPTURED,1,2026-09-19T07:57:08Z,872,
DOMESTIC_CUP,England,LEAGUE_CUP,48,League Cup,2017,true,CAPTURED,1,2026-09-19T07:57:10Z,93,
DOMESTIC_CUP,England,LEAGUE_CUP,48,League Cup,2018,true,CAPTURED,1,2026-09-19T07:57:12Z,93,
DOMESTIC_CUP,England,LEAGUE_CUP,48,League Cup,2019,true,CAPTURED,1,2026-09-19T07:57:14Z,93,
DOMESTIC_CUP,England,LEAGUE_CUP,48,League Cup,2020,true,CAPTURED,1,2026-09-19T07:57:16Z,91,
DOMESTIC_CUP,England,LEAGUE_CUP,48,League Cup,2021,true,CAPTURED,1,2026-09-19T07:57:18Z,93,
DOMESTIC_CUP,England,LEAGUE_CUP,48,League Cup,2022,true,CAPTURED,1,2026-09-19T07:57:20Z,93,
DOMESTIC_CUP,England,LEAGUE_CUP,48,League Cup,2023,true,CAPTURED,1,2026-09-19T07:57:22Z,93,
DOMESTIC_CUP,England,LEAGUE_CUP,48,League Cup,2024,true,CAPTURED,1,2026-09-19T07:57:24Z,93,
DOMESTIC_CUP,England,LEAGUE_CUP,48,League Cup,2025,true,CAPTURED,1,2026-09-19T07:57:26Z,93,
DOMESTIC_CUP,France,LEAGUE_CUP,65,Coupe de la Ligue,2017,true,CAPTURED,1,2026-09-19T07:57:28Z,43,
DOMESTIC_CUP,France,LEAGUE_CUP,65,Coupe de la Ligue,2018,true,CAPTURED,1,2026-09-19T07:57:29Z,43,
DOMESTIC_CUP,France,LEAGUE_CUP,65,Coupe de la Ligue,2019,true,CAPTURED,1,2026-09-19T07:57:31Z,44,
DOMESTIC_CUP,France,NATIONAL_CUP,66,Coupe de France,2017,true,CAPTURED,1,2026-09-19T07:57:34Z,195,
DOMESTIC_CUP,France,NATIONAL_CUP,66,Coupe de France,2018,true,CAPTURED,1,2026-09-19T07:57:36Z,195,
DOMESTIC_CUP,France,NATIONAL_CUP,66,Coupe de France,2019,true,CAPTURED,1,2026-09-19T07:57:38Z,195,
