api_fixture_id,league,league_id,locked_at_utc,kickoff_utc,close_observed_at_utc,close_gap_minutes,home_team,away_team,bet_id,bet_name,line,open_p_f1_0,open_p_f2_0,close_p_f1_0,close_p_f2_0,move_f1_0_pp,move_f2_0_pp,bet365_close_f1_0,bet365_close_f2_0,user_bookmaker,user_close_f1_0,user_close_f2_0,status,note
1552168,Eredivisie,88,2026-09-13T00:44:15Z,2026-09-12T19:00:00Z,2026-09-12T18:40:06Z,19.9,Cambuur,NEC Nijmegen,4,Asian Handicap,0,0.24124514,0.75875486,0.24124514,0.75875486,-0.00000000,0.00000000,3.9,1.24,Marathonbet,3.5,1.22,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1575491,Primeira Liga,94,2026-09-13T00:44:15Z,2026-09-12T19:30:00Z,2026-09-12T18:40:06Z,49.9,Academico Viseu,Vitória SC,4,Asian Handicap,0,0.35108959,0.64891041,0.34052758,0.65947242,-0.01056201,0.01056201,2.75,1.42,Marathonbet,2.67,1.44,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1570374,La Liga,140,2026-09-13T12:42:54Z,2026-09-13T12:00:00Z,2026-09-13T06:44:59Z,315.0,Celta Vigo,Malaga,4,Asian Handicap,0,0.74596774,0.25403226,0.75247525,0.24752475,0.00650751,-0.00650751,1.25,3.8,Marathonbet,1.24,3.56,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1561925,Austrian Bundesliga,218,2026-09-13T12:42:54Z,2026-09-13T12:30:00Z,2026-09-13T06:44:59Z,345.0,Austria Vienna,Austria Lustenau,4,Asian Handicap,0,0.68493151,0.31506849,0.68493151,0.31506849,-0.00000000,0.00000000,1.38,3.0,Marathonbet,1.3,2.98,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1561928,Austrian Bundesliga,218,2026-09-13T12:42:54Z,2026-09-13T12:30:00Z,2026-09-13T06:44:59Z,345.0,WSG Wattens,TSV Hartberg,4,Asian Handicap,0,0.58974359,0.41025641,0.59796438,0.40203562,0.00822079,-0.00822079,1.58,2.35,Marathonbet,1.59,2.27,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1549017,Danish Superliga,119,2026-09-13T12:42:54Z,2026-09-13T12:00:00Z,2026-09-13T06:44:59Z,315.0,Lyngby,Sonderjyske,4,Asian Handicap,0,0.74596774,0.25403226,0.75247525,0.24752475,0.00650751,-0.00650751,1.25,3.8,Marathonbet,1.19,3.8,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1549021,Danish Superliga,119,2026-09-13T12:42:54Z,2026-09-13T12:00:00Z,2026-09-13T06:44:59Z,315.0,Silkeborg,Viborg,4,Asian Handicap,0,0.32941176,0.67058824,0.35108959,0.64891041,0.02167783,-0.02167783,2.68,1.45,Marathonbet,2.56,1.4,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1547629,A Lyga,362,2026-09-13T12:42:54Z,2026-09-13T11:30:00Z,2026-09-13T06:44:59Z,285.0,Panevėžys,Kauno Žalgiris,4,Asian Handicap,0,0.24124514,0.75875486,0.24124514,0.75875486,-0.00000000,0.00000000,3.9,1.24,Marathonbet,3.74,1.19,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1515922,Virsliga,365,2026-09-13T12:42:54Z,2026-09-13T11:00:00Z,2026-09-13T06:44:59Z,255.0,BFC Daugavpils,Rīgas FS,4,Asian Handicap,0,0.14396887,0.85603113,0.13924051,0.86075949,-0.00472836,0.00472836,6.8,1.1,Marathonbet,6.4,1.05,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
1552167,Eredivisie,88,2026-09-13T12:42:54Z,2026-09-13T10:15:00Z,2026-09-13T06:44:59Z,210.0,Excelsior,Utrecht,4,Asian Handicap,0,0.57142857,0.42857143,0.58139535,0.41860465,0.00996678,-0.00996678,1.62,2.25,Marathonbet,1.63,2.2,OBSERVED_CLOSE_FROZEN,Latest stored pre-kickoff exact Asian Handicap line 0 pair
