factor,bucket,scope_type,scope_value,seasons_with_matches,total_matches,min_season_matches,max_season_matches,home_roi_observed_seasons,home_roi_positive_seasons,draw_roi_observed_seasons,draw_roi_positive_seasons,away_roi_observed_seasons,away_roi_positive_seasons,over25_roi_observed_seasons,over25_roi_positive_seasons,under25_roi_observed_seasons,under25_roi_positive_seasons,home_calibration_observed_seasons,home_calibration_positive_seasons,away_calibration_observed_seasons,away_calibration_positive_seasons,over25_calibration_observed_seasons,over25_calibration_positive_seasons,research_only,operational_betting_authority,creates_signal,promotes_factor
DOMESTIC_CUP_96H_SIDE,NEITHER,LEAGUE,I1,9,3189,347,362,7,0,7,3,7,3,7,1,7,1,7,0,7,4,7,4,true,false,false,false
DOMESTIC_CUP_96H_SIDE,NEITHER,LEAGUE,N1,9,2408,200,285,7,1,7,5,7,1,7,1,7,1,7,1,7,2,7,3,true,false,false,false
DOMESTIC_CUP_96H_SIDE,NEITHER,LEAGUE,NOR,9,2017,209,240,9,2,9,2,9,1,0,0,0,0,9,6,9,3,0,0,true,false,false,false
DOMESTIC_CUP_96H_SIDE,NEITHER,LEAGUE,P1,9,2591,283,294,7,1,7,0,7,0,7,1,7,1,7,3,7,2,7,4,true,false,false,false
DOMESTIC_CUP_96H_SIDE,NEITHER,LEAGUE,POL,8,2202,223,296,8,1,8,1,8,0,0,0,0,0,8,8,8,2,0,0,true,false,false,false
DOMESTIC_CUP_96H_SIDE,NEITHER,LEAGUE,SC0,9,1905,163,228,7,3,7,1,7,1,7,3,7,1,7,5,7,1,7,4,true,false,false,false
DOMESTIC_CUP_96H_SIDE,NEITHER,LEAGUE,SP1,9,3080,324,380,7,1,7,4,7,0,7,1,7,2,7,4,7,1,7,3,true,false,false,false
DOMESTIC_CUP_96H_SIDE,NEITHER,LEAGUE,T1,9,2736,256,388,7,0,7,1,7,0,7,0,7,1,7,5,7,1,7,5,true,false,false,false
NONLEAGUE_72H_SIDE,AWAY_ONLY,ALL,ALL,9,2010,170,261,9,1,9,4,9,2,7,2,7,2,9,2,9,6,7,3,true,false,false,false
NONLEAGUE_72H_SIDE,AWAY_ONLY,LEAGUE,AUT,9,159,12,26,9,2,9,4,9,6,0,0,0,0,9,4,9,6,0,0,true,false,false,false
NONLEAGUE_72H_SIDE,AWAY_ONLY,LEAGUE,B1,9,142,6,27,7,2,7,3,7,2,7,2,7,3,7,4,7,3,7,2,true,false,false,false
NONLEAGUE_72H_SIDE,AWAY_ONLY,LEAGUE,D1,9,207,16,30,7,3,7,6,7,2,7,2,7,4,7,3,7,2,7,2,true,false,false,false
NONLEAGUE_72H_SIDE,AWAY_ONLY,LEAGUE,DNK,9,129,7,19,9,2,9,4,9,3,0,0,0,0,9,4,9,3,0,0,true,false,false,false
NONLEAGUE_72H_SIDE,AWAY_ONLY,LEAGUE,E0,9,229,19,34,7,2,7,1,7,4,7,6,7,1,7,4,7,4,7,6,true,false,false,false
NONLEAGUE_72H_SIDE,AWAY_ONLY,LEAGUE,F1,9,177,11,26,7,0,7,5,7,2,7,3,7,2,7,2,7,3,7,5,true,false,false,false
NONLEAGUE_72H_SIDE,AWAY_ONLY,LEAGUE,I1,9,137,10,20,7,2,7,2,7,3,7,4,7,2,7,4,7,3,7,4,true,false,false,false
NONLEAGUE_72H_SIDE,AWAY_ONLY,LEAGUE,N1,9,186,13,33,7,4,7,4,7,2,7,1,7,3,7,3,7,2,7,3,true,false,false,false
NONLEAGUE_72H_SIDE,AWAY_ONLY,LEAGUE,NOR,9,84,3,19,9,4,9,3,9,6,0,0,0,0,9,5,9,7,0,0,true,false,false,false
NONLEAGUE_72H_SIDE,AWAY_ONLY,LEAGUE,P1,8,43,2,12,7,1,7,4,7,4,7,4,7,2,7,4,7,4,7,4,true,false,false,false
NONLEAGUE_72H_SIDE,AWAY_ONLY,LEAGUE,POL,8,97,4,23,8,3,8,5,8,2,0,0,0,0,8,2,8,2,0,0,true,false,false,false
NONLEAGUE_72H_SIDE,AWAY_ONLY,LEAGUE,SC0,9,102,5,17,7,3,7,4,7,2,7,5,7,1,7,4,7,3,7,6,true,false,false,false
NONLEAGUE_72H_SIDE,AWAY_ONLY,LEAGUE,SP1,9,245,16,40,7,3,7,3,7,3,7,3,7,3,7,3,7,5,7,4,true,false,false,false
NONLEAGUE_72H_SIDE,AWAY_ONLY,LEAGUE,T1,9,73,2,13,7,1,7,5,7,2,7,3,7,3,7,3,7,3,7,3,true,false,false,false
NONLEAGUE_72H_SIDE,BOTH,ALL,ALL,9,397,32,53,9,5,9,3,9,2,7,3,7,2,9,6,9,3,7,4,true,false,false,false
NONLEAGUE_72H_SIDE,BOTH,LEAGUE,AUT,9,25,1,5,9,2,9,6,9,4,0,0,0,0,9,2,9,3,0,0,true,false,false,false
NONLEAGUE_72H_SIDE,BOTH,LEAGUE,B1,8,45,3,9,7,2,7,2,7,3,7,3,7,4,7,4,7,4,7,3,true,false,false,false
NONLEAGUE_72H_SIDE,BOTH,LEAGUE,D1,9,46,3,7,7,3,7,2,7,3,7,5,7,1,7,2,7,3,7,5,true,false,false,false
NONLEAGUE_72H_SIDE,BOTH,LEAGUE,DNK,7,17,1,4,7,3,7,2,7,2,0,0,0,0,7,3,7,2,0,0,true,false,false,false
NONLEAGUE_72H_SIDE,BOTH,LEAGUE,E0,9,52,3,10,7,4,7,4,7,2,7,2,7,4,7,3,7,3,7,2,true,false,false,false
NONLEAGUE_72H_SIDE,BOTH,LEAGUE,F1,9,32,1,7,7,3,7,1,7,2,7,2,7,3,7,5,7,3,7,3,true,false,false,false
NONLEAGUE_72H_SIDE,BOTH,LEAGUE,I1,7,12,1,3,7,1,7,2,7,5,7,3,7,4,7,3,7,6,7,3,true,false,false,false
NONLEAGUE_72H_SIDE,BOTH,LEAGUE,N1,9,37,1,7,7,4,7,3,7,4,7,3,7,2,7,3,7,3,7,4,true,false,false,false
NONLEAGUE_72H_SIDE,BOTH,LEAGUE,NOR,6,30,1,9,6,2,6,2,6,3,0,0,0,0,6,2,6,5,0,0,true,false,false,false
NONLEAGUE_72H_SIDE,BOTH,LEAGUE,P1,3,3,1,1,3,3,3,0,3,0,3,1,3,2,3,3,3,0,3,1,true,false,false,false
NONLEAGUE_72H_SIDE,BOTH,LEAGUE,POL,6,11,1,3,6,2,6,3,6,2,0,0,0,0,6,2,6,2,0,0,true,false,false,false
NONLEAGUE_72H_SIDE,BOTH,LEAGUE,SC0,8,21,1,4,6,2,6,3,6,3,6,1,6,4,6,1,6,2,6,1,true,false,false,false
NONLEAGUE_72H_SIDE,BOTH,LEAGUE,SP1,9,61,2,10,7,7,7,2,7,1,7,1,7,6,7,7,7,1,7,1,true,false,false,false
NONLEAGUE_72H_SIDE,BOTH,LEAGUE,T1,4,5,1,2,3,0,3,1,3,2,3,3,3,0,3,1,3,2,3,3,true,false,false,false
NONLEAGUE_72H_SIDE,HOME_ONLY,ALL,ALL,9,2078,185,265,9,4,9,2,9,0,7,1,7,0,9,6,9,3,7,4,true,false,false,false
NONLEAGUE_72H_SIDE,HOME_ONLY,LEAGUE,AUT,9,125,7,19,9,3,9,5,9,2,0,0,0,0,9,5,9,5,0,0,true,false,false,false
