api_fixture_id,league,league_id,locked_at_utc,kickoff_utc,close_observed_at_utc,close_gap_minutes,home_team,away_team,open_p_yes,close_p_yes,movement_yes_pp,yes_close_watch,no_close_watch,bet365_close_yes,bet365_close_no,user_bookmaker,user_close_yes,user_close_no,yes_crossing_recorded,no_crossing_recorded,status,note
1557405,Premier League,39,2026-09-12T20:14:53Z,2026-09-12T19:00:00Z,2026-09-12T18:17:03Z,43.0,Sunderland,Arsenal,0.42408377,0.45333333,0.02924956,NO,NO,2.05,1.7,Marathonbet,2.06,1.68,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1570379,La Liga,140,2026-09-12T20:14:53Z,2026-09-12T19:00:00Z,2026-09-12T18:17:03Z,43.0,Real Madrid,Rayo Vallecano,0.46666667,0.48000000,0.01333333,NO,NO,1.95,1.8,Marathonbet,1.85,1.85,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1570374,La Liga,140,2026-09-13T12:19:23Z,2026-09-13T12:00:00Z,2026-09-13T10:20:25Z,99.6,Celta Vigo,Malaga,0.48000000,0.45333333,-0.02666667,NO,NO,2.05,1.7,Marathonbet,1.99,1.73,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1550122,Serie A,135,2026-09-13T14:14:55Z,2026-09-13T13:00:00Z,2026-09-13T12:19:23Z,40.6,Lecce,Monza,0.50000000,0.50000000,0.00000000,NO,NO,1.91,1.91,Marathonbet,1.87,1.83,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1552760,Ligue 1,61,2026-09-13T14:14:55Z,2026-09-13T13:00:00Z,2026-09-13T12:19:23Z,40.6,Lille,Estac Troyes,0.48000000,0.52000000,0.04000000,YES,NO,1.8,1.95,Marathonbet,1.81,1.89,YES,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1557400,Premier League,39,2026-09-13T14:14:55Z,2026-09-13T13:00:00Z,2026-09-13T12:19:23Z,40.6,Coventry,Brighton,0.55702918,0.55702918,-0.00000000,NO,NO,1.67,2.1,Marathonbet,1.61,2.17,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1575159,Bundesliga,78,2026-09-13T14:14:55Z,2026-09-13T13:30:00Z,2026-09-13T12:19:23Z,70.6,RB Leipzig,Hamburger SV,0.57591623,0.62500000,0.04908377,YES,NO,1.5,2.5,Marathonbet,1.46,2.52,YES,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1550123,Serie A,135,2026-09-13T16:15:55Z,2026-09-13T16:00:00Z,2026-09-13T14:14:55Z,105.1,Napoli,Bologna,0.48000000,0.52000000,0.04000000,YES,NO,1.8,1.95,Marathonbet,1.77,1.94,YES,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1552759,Ligue 1,61,2026-09-13T16:15:55Z,2026-09-13T15:15:00Z,2026-09-13T14:14:55Z,60.1,Le Mans,Lens,0.54666667,0.57591623,0.02924956,NO,NO,1.62,2.2,Marathonbet,1.57,2.25,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1557404,Premier League,39,2026-09-13T16:15:55Z,2026-09-13T15:30:00Z,2026-09-13T14:14:55Z,75.1,Manchester United,Manchester City,0.64532020,0.64532020,-0.00000000,NO,NO,1.44,2.62,Marathonbet,1.44,2.58,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1570376,La Liga,140,2026-09-13T16:15:55Z,2026-09-13T14:15:00Z,2026-09-13T14:14:55Z,0.1,Levante,Barcelona,0.52000000,0.54666667,0.02666667,NO,NO,1.7,2.05,Marathonbet,1.68,2.06,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1575166,Bundesliga,78,2026-09-13T16:15:55Z,2026-09-13T15:30:00Z,2026-09-13T14:14:55Z,75.1,SV Elversberg,Bayern München,0.60869565,0.60869565,0.00000000,NO,NO,1.53,2.38,Marathonbet,1.49,2.44,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1550124,Serie A,135,2026-09-13T20:15:29Z,2026-09-13T18:45:00Z,2026-09-13T16:15:55Z,149.1,Sassuolo,Juventus,0.52000000,0.52000000,-0.00000000,NO,NO,1.8,1.95,Marathonbet,1.78,1.93,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1552757,Ligue 1,61,2026-09-13T20:15:29Z,2026-09-13T18:45:00Z,2026-09-13T16:15:55Z,149.1,Stade Brestois 29,Paris Saint Germain,0.50000000,0.53333333,0.03333333,YES,NO,1.75,2.0,Marathonbet,1.75,1.96,YES,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1570375,La Liga,140,2026-09-13T20:15:29Z,2026-09-13T16:30:00Z,2026-09-13T16:15:55Z,14.1,Getafe,Deportivo La Coruna,0.39130435,0.41099476,0.01969041,NO,NO,2.25,1.57,Marathonbet,2.25,1.57,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1570380,La Liga,140,2026-09-13T20:15:29Z,2026-09-13T19:00:00Z,2026-09-13T16:15:55Z,164.1,Real Sociedad,Atletico Madrid,0.60869565,0.62500000,0.01630435,NO,NO,1.5,2.5,Marathonbet,1.49,2.44,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1550118,Serie A,135,2026-09-14T18:18:26Z,2026-09-14T16:30:00Z,2026-09-14T16:16:41Z,13.3,Como,Parma,0.39130435,0.41099476,0.01969041,NO,NO,2.25,1.57,Marathonbet,2.19,1.6,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1550125,Serie A,135,2026-09-14T18:18:26Z,2026-09-14T16:30:00Z,2026-09-14T16:16:41Z,13.3,Torino,AS Roma,0.50000000,0.52000000,0.02000000,NO,NO,1.8,1.95,Marathonbet,1.81,1.89,YES,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1550120,Serie A,135,2026-09-14T22:16:20Z,2026-09-14T18:45:00Z,2026-09-14T18:18:26Z,26.6,Inter,Udinese,0.46666667,0.48000000,0.01333333,NO,NO,1.95,1.8,Marathonbet,1.99,1.73,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1557402,Premier League,39,2026-09-14T22:16:20Z,2026-09-14T19:00:00Z,2026-09-14T18:18:26Z,41.6,Leeds,Newcastle,0.57591623,0.57591623,0.00000000,NO,NO,1.62,2.2,Marathonbet,1.59,2.21,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1570382,La Liga,140,2026-09-14T22:16:20Z,2026-09-14T19:00:00Z,2026-09-14T18:18:26Z,41.6,Villarreal,Real Betis,0.60869565,0.62500000,0.01630435,NO,NO,1.5,2.5,Marathonbet,1.41,2.69,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1570383,La Liga,140,2026-09-15T18:17:31Z,2026-09-15T18:00:00Z,2026-09-15T16:16:25Z,103.6,Alaves,Valencia,0.48000000,0.48000000,0.00000000,NO,NO,1.95,1.8,Marathonbet,1.96,1.75,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
1570391,La Liga,140,2026-09-15T18:17:31Z,2026-09-15T17:00:00Z,2026-09-15T16:16:25Z,43.6,Rayo Vallecano,Espanyol,0.52000000,0.54666667,0.02666667,NO,NO,1.7,2.05,Marathonbet,1.69,2.04,NO,NO,OBSERVED_CLOSE,Latest Stage63 pre-kickoff snapshot; research only
