venue_id,venue_name,venue_city,team_country,latitude,longitude,elevation_m,geocoded_name,geocoded_country,geocoded_country_code,geocoded_admin1,geocoded_population,geocoded_feature_code,geocode_quality_status,geocode_name_match_quality,geocode_query_used,resolver_version,captured_at_utc,source
495,Villa Park,Birmingham,England,52.481,-1.9,149,Birmingham,United Kingdom,GB,England,1157603,PPLA2,VERIFIED_LOCALITY_V4,3,Birmingham,PBK_GEOCODE_V4,2026-09-25T14:31:55Z,Open-Meteo Geocoding API city proxy v4
504,Vitality Stadium,"Bournemouth, Dorset",England,50.72,-1.879,19,Bournemouth,United Kingdom,GB,England,163600,PPLA2,VERIFIED_LOCALITY_V4,3,Bournemouth,PBK_GEOCODE_V4,2026-09-25T11:05:39Z,Open-Meteo Geocoding API city proxy v4
508,American Express Stadium,"Falmer, East Sussex",England,50.865,-0.077,97,Falmer,United Kingdom,GB,England,,PPL,VERIFIED_LOCALITY_V4,3,Falmer,PBK_GEOCODE_V4,2026-09-25T11:05:39Z,Open-Meteo Geocoding API city proxy v4
5080,Stadion Miejski Widzewa Łódź,Łódź,Poland,51.771,19.474,214,Lodz,Poland,PL,Łódź Voivodeship,645693,PPLA,VERIFIED_LOCALITY_V4,3,Łódź,PBK_GEOCODE_V4,2026-09-25T11:05:39Z,Open-Meteo Geocoding API city proxy v4
519,Stamford Bridge,London,England,51.509,-0.126,25,London,United Kingdom,GB,England,8961989,PPLC,VERIFIED_LOCALITY_V4,3,London,PBK_GEOCODE_V4,2026-09-25T15:36:21Z,Open-Meteo Geocoding API city proxy v4
525,Selhurst Park,London,England,51.509,-0.126,25,London,United Kingdom,GB,England,8961989,PPLC,VERIFIED_LOCALITY_V4,3,London,PBK_GEOCODE_V4,2026-09-25T14:26:26Z,Open-Meteo Geocoding API city proxy v4
535,Craven Cottage,London,England,51.509,-0.126,25,London,United Kingdom,GB,England,8961989,PPLC,VERIFIED_LOCALITY_V4,3,London,PBK_GEOCODE_V4,2026-09-25T11:05:39Z,Open-Meteo Geocoding API city proxy v4
546,Elland Road,"Leeds, West Yorkshire",England,53.796,-1.548,50,Leeds,United Kingdom,GB,England,536280,PPLA2,VERIFIED_LOCALITY_V4,3,Leeds,PBK_GEOCODE_V4,2026-09-25T11:05:39Z,Open-Meteo Geocoding API city proxy v4
550,Anfield,Liverpool,England,53.411,-2.978,30,Liverpool,United Kingdom,GB,England,496770,PPLA2,VERIFIED_LOCALITY_V4,3,Liverpool,PBK_GEOCODE_V4,2026-09-25T15:37:43Z,Open-Meteo Geocoding API city proxy v4
555,Etihad Stadium,Manchester,England,53.481,-2.237,51,Manchester,United Kingdom,GB,England,568996,PPLA2,VERIFIED_LOCALITY_V4,3,Manchester,PBK_GEOCODE_V4,2026-09-25T11:35:30Z,Open-Meteo Geocoding API city proxy v4
556,Old Trafford,Manchester,England,53.481,-2.237,51,Manchester,United Kingdom,GB,England,568996,PPLA2,VERIFIED_LOCALITY_V4,3,Manchester,PBK_GEOCODE_V4,2026-09-25T14:29:56Z,Open-Meteo Geocoding API city proxy v4
562,St. James' Park,Newcastle upon Tyne,England,54.973,-1.614,54,Newcastle upon Tyne,United Kingdom,GB,England,300125,PPLA2,VERIFIED_LOCALITY_V4,3,Newcastle upon Tyne,PBK_GEOCODE_V4,2026-09-25T11:35:30Z,Open-Meteo Geocoding API city proxy v4
566,The City Ground,"Nottingham, Nottinghamshire",England,52.954,-1.15,46,Nottingham,United Kingdom,GB,England,323632,PPLA2,VERIFIED_LOCALITY_V4,3,Nottingham,PBK_GEOCODE_V4,2026-09-25T11:35:30Z,Open-Meteo Geocoding API city proxy v4
593,Tottenham Hotspur Stadium,London,England,51.509,-0.126,25,London,United Kingdom,GB,England,8961989,PPLC,VERIFIED_LOCALITY_V4,3,London,PBK_GEOCODE_V4,2026-09-25T11:35:30Z,Open-Meteo Geocoding API city proxy v4
634,Stade Raymond-Kopa,Angers,France,47.472,-0.552,42,Angers,France,FR,Pays de la Loire Region,168279,PPLA2,VERIFIED_LOCALITY_V4,3,Angers,PBK_GEOCODE_V4,2026-09-25T11:35:30Z,Open-Meteo Geocoding API city proxy v4
636,Stade de l'Abbé Deschamps,Auxerre,France,47.8,3.57,120,Auxerre,France,FR,Bourgogne,41516,PPLA2,VERIFIED_LOCALITY_V4,3,Auxerre,PBK_GEOCODE_V4,2026-09-25T11:35:30Z,Open-Meteo Geocoding API city proxy v4
641,Stade Francis-Le Blé,Brest,France,48.39,-4.486,49,Brest,France,FR,Brittany Region,144899,PPLA3,VERIFIED_LOCALITY_V4,3,Brest,PBK_GEOCODE_V4,2026-09-25T15:36:21Z,Open-Meteo Geocoding API city proxy v4
654,Stade Bollaert-Delelis,Lens,France,50.433,2.828,37,Lens,France,FR,Hauts-de-France,38265,PPLA3,VERIFIED_LOCALITY_V4,3,Lens,PBK_GEOCODE_V4,2026-09-25T14:29:56Z,Open-Meteo Geocoding API city proxy v4
663,Allianz Riviera,Nice,France,43.703,7.266,25,Nice,France,FR,Provence-Alpes-Côte d'Azur,342669,PPLA2,VERIFIED_LOCALITY_V4,3,Nice,PBK_GEOCODE_V4,2026-09-25T11:35:30Z,Open-Meteo Geocoding API city proxy v4
666,Groupama Stadium,Décines-Charpieu,France,45.769,4.959,189,Décines-Charpieu,France,FR,Rhône-Alpes,24674,PPL,VERIFIED_LOCALITY_V4,3,Décines-Charpieu,PBK_GEOCODE_V4,2026-09-25T11:35:30Z,Open-Meteo Geocoding API city proxy v4
671,Parc des Princes,Paris,France,48.853,2.349,42,Paris,France,FR,Île-de-France Region,2138551,PPLC,VERIFIED_LOCALITY_V4,3,Paris,PBK_GEOCODE_V4,2026-09-25T15:34:58Z,Open-Meteo Geocoding API city proxy v4
680,Roazhon Park,Rennes,France,48.111,-1.674,39,Rennes,France,FR,Brittany Region,227830,PPLA,VERIFIED_LOCALITY_V4,3,Rennes,PBK_GEOCODE_V4,2026-09-25T14:29:56Z,Open-Meteo Geocoding API city proxy v4
681,Stade de la Meinau,Strasbourg,France,48.584,7.746,147,Strasbourg,France,FR,Grand Est,274845,PPLA,VERIFIED_LOCALITY_V4,3,Strasbourg,PBK_GEOCODE_V4,2026-09-25T14:27:54Z,Open-Meteo Geocoding API city proxy v4
682,Stadium de Toulouse,Toulouse,France,43.604,1.444,150,Toulouse,France,FR,Occitanie,511684,PPLA,VERIFIED_LOCALITY_V4,3,Toulouse,PBK_GEOCODE_V4,2026-09-25T11:35:30Z,Open-Meteo Geocoding API city proxy v4
684,Stade de l'Aube,Troyes,France,48.301,4.085,106,Troyes,France,FR,Grand Est,60785,PPLA2,VERIFIED_LOCALITY_V4,3,Troyes,PBK_GEOCODE_V4,2026-09-25T15:36:21Z,Open-Meteo Geocoding API city proxy v4
698,WWK Arena,Augsburg,Germany,48.372,10.899,489,Augsburg,Germany,DE,Bavaria,259196,PPLA2,VERIFIED_LOCALITY_V4,3,Augsburg,PBK_GEOCODE_V4,2026-09-25T14:27:54Z,Open-Meteo Geocoding API city proxy v4
699,BayArena,Leverkusen,Germany,51.03,6.984,52,Leverkusen,Germany,DE,North Rhine-Westphalia,162738,PPLA3,VERIFIED_LOCALITY_V4,3,Leverkusen,PBK_GEOCODE_V4,2026-09-25T11:35:30Z,Open-Meteo Geocoding API city proxy v4
700,Allianz Arena,München,Germany,48.137,11.575,524,Munich,Germany,DE,Bavaria,1260391,PPLA,VERIFIED_LOCALITY_V4,3,München,PBK_GEOCODE_V4,2026-09-25T11:35:30Z,Open-Meteo Geocoding API city proxy v4
