api_fixture_id,league,league_id,captured_at_utc,kickoff_utc,minutes_to_kickoff,home_team,away_team,bet_id,bet_name,b365_1x,b365_x2,b365_12,p_1x,p_x2,p_12,open_p_1x,open_p_x2,open_p_12,move_1x_pp,move_x2_pp,move_12_pp,user_bookmaker,user_1x,user_x2,user_12,api_odds_update_utc
1552762,Ligue 1,61,2026-09-11T13:40:08Z,2026-09-12T18:45:00Z,1744.9,Paris FC,Lyon,12,Double Chance,1.5,1.5,1.28,0.31527094,0.31527094,0.36945813,0.31527094,0.31527094,0.36945813,-0.00000000,-0.00000000,-0.00000000,Marathonbet,1.54,1.52,1.31,2026-09-11T13:18:18+00:00
1552760,Ligue 1,61,2026-09-11T13:40:08Z,2026-09-13T13:00:00Z,2839.9,Lille,Estac Troyes,12,Double Chance,1.1,2.75,1.18,0.42877907,0.17151163,0.39970930,0.42877907,0.17151163,0.39970930,-0.00000000,-0.00000000,0.00000000,Marathonbet,1.11,2.91,1.21,2026-09-11T13:18:17+00:00
1552759,Ligue 1,61,2026-09-11T13:40:08Z,2026-09-13T15:15:00Z,2974.9,Le Mans,Lens,12,Double Chance,2.2,1.18,1.22,0.21423894,0.39942854,0.38633252,0.21423894,0.39942854,0.38633252,0.00000000,-0.00000000,-0.00000000,Marathonbet,2.29,1.19,1.25,2026-09-11T13:18:18+00:00
1552757,Ligue 1,61,2026-09-11T13:40:08Z,2026-09-13T18:45:00Z,3184.9,Stade Brestois 29,Paris Saint Germain,12,Double Chance,3.75,1.05,1.14,0.12721186,0.45432807,0.41846007,0.12721186,0.45432807,0.41846007,0.00000000,0.00000000,-0.00000000,Marathonbet,4.05,1.06,1.14,2026-09-11T13:18:17+00:00
1561926,Austrian Bundesliga,218,2026-09-11T13:40:08Z,2026-09-11T17:30:00Z,229.9,Ried,Red Bull Salzburg,12,Double Chance,2.38,1.17,1.2,0.19930159,0.40541692,0.39528149,0.19930159,0.40541692,0.39528149,0.00000000,-0.00000000,0.00000000,Marathonbet,2.45,1.12,1.19,2026-09-11T12:00:44+00:00
1561924,Austrian Bundesliga,218,2026-09-11T13:40:08Z,2026-09-12T15:00:00Z,1519.9,SCR Altach,Grazer AK,12,Double Chance,1.33,1.62,1.3,0.35160946,0.28866702,0.35972352,0.35160946,0.28866702,0.35972352,-0.00000000,0.00000000,0.00000000,Marathonbet,1.32,1.65,1.3,2026-09-11T09:31:18+00:00
1561929,Austrian Bundesliga,218,2026-09-11T13:40:08Z,2026-09-12T17:30:00Z,1669.9,Wolfsberger AC,Rapid Vienna,12,Double Chance,2.1,1.18,1.25,0.22423229,0.39905746,0.37671025,0.22423229,0.39905746,0.37671025,-0.00000000,0.00000000,-0.00000000,Marathonbet,2.09,1.2,1.21,2026-09-11T13:39:14+00:00
1561925,Austrian Bundesliga,218,2026-09-11T13:40:08Z,2026-09-13T12:30:00Z,2809.9,Austria Vienna,Austria Lustenau,12,Double Chance,1.25,1.91,1.28,0.38008177,0.24874462,0.37117361,0.38008177,0.24874462,0.37117361,0.00000000,-0.00000000,-0.00000000,Marathonbet,1.22,1.91,1.26,2026-09-11T13:39:14+00:00
1561928,Austrian Bundesliga,218,2026-09-11T13:40:08Z,2026-09-13T12:30:00Z,2809.9,WSG Wattens,TSV Hartberg,12,Double Chance,1.36,1.67,1.28,0.34759984,0.28307532,0.36932483,0.34759984,0.28307532,0.36932483,0.00000000,0.00000000,0.00000000,Marathonbet,1.33,1.66,1.27,2026-09-11T13:39:14+00:00
1561927,Austrian Bundesliga,218,2026-09-11T13:40:08Z,2026-09-13T15:00:00Z,2959.9,Sturm Graz,Lask Linz,12,Double Chance,1.7,1.36,1.28,0.27947598,0.34934498,0.37117904,0.27947598,0.34934498,0.37117904,0.00000000,-0.00000000,-0.00000000,Marathonbet,1.65,1.36,1.26,2026-09-11T13:39:14+00:00
1558626,Belgian Pro League,144,2026-09-11T13:40:08Z,2026-09-11T18:45:00Z,304.9,KV Mechelen,Anderlecht,12,Double Chance,2.0,1.22,1.28,0.23799073,0.39014874,0.37186052,0.23799073,0.39014874,0.37186052,0.00000000,0.00000000,0.00000000,Marathonbet,1.99,1.2,1.25,2026-09-11T13:32:18+00:00
1558627,Belgian Pro League,144,2026-09-11T13:40:08Z,2026-09-12T14:00:00Z,1459.9,SK Beveren,St. Truiden,12,Double Chance,1.67,1.36,1.3,0.28469292,0.34958616,0.36572091,0.28469292,0.34958616,0.36572091,0.00000000,0.00000000,0.00000000,Marathonbet,1.63,1.34,1.28,2026-09-11T09:24:14+00:00
1558628,Belgian Pro League,144,2026-09-11T13:40:08Z,2026-09-12T16:15:00Z,1594.9,KVC Westerlo,Standard Liege,12,Double Chance,1.5,1.53,1.3,0.31905679,0.31280077,0.36814244,0.31905679,0.31280077,0.36814244,-0.00000000,-0.00000000,0.00000000,Marathonbet,1.45,1.52,1.27,2026-09-11T09:24:14+00:00
1558629,Belgian Pro League,144,2026-09-11T13:40:08Z,2026-09-12T18:45:00Z,1744.9,OH Leuven,Cercle Brugge,12,Double Chance,1.5,1.5,1.3,0.31707317,0.31707317,0.36585366,0.31707317,0.31707317,0.36585366,0.00000000,0.00000000,-0.00000000,Marathonbet,1.48,1.47,1.28,2026-09-11T13:32:18+00:00
1558630,Belgian Pro League,144,2026-09-11T13:40:08Z,2026-09-12T18:45:00Z,1744.9,Union St. Gilloise,Lommel United,12,Double Chance,1.05,4.0,1.12,0.45454545,0.11931818,0.42613636,0.45454545,0.11931818,0.42613636,0.00000000,0.00000000,0.00000000,Marathonbet,1.02,4.1,1.1,2026-09-11T09:24:14+00:00
1558631,Belgian Pro League,144,2026-09-11T13:40:08Z,2026-09-13T11:30:00Z,2749.9,Club Brugge KV,Antwerp,12,Double Chance,1.07,3.75,1.14,0.44965448,0.12830141,0.42204411,0.44965448,0.12830141,0.42204411,-0.00000000,0.00000000,0.00000000,Marathonbet,1.03,3.7,1.11,2026-09-11T13:32:18+00:00
1558632,Belgian Pro League,144,2026-09-11T13:40:08Z,2026-09-13T14:00:00Z,2899.9,Genk,Gent,12,Double Chance,1.28,1.73,1.25,0.36180963,0.26769730,0.37049306,0.36180963,0.26769730,0.37049306,0.00000000,0.00000000,0.00000000,Marathonbet,1.25,1.75,1.31,2026-09-11T13:32:18+00:00
1558633,Belgian Pro League,144,2026-09-11T13:40:08Z,2026-09-13T16:30:00Z,3049.9,Zulte Waregem,Charleroi,12,Double Chance,1.44,1.5,1.3,0.32597793,0.31293882,0.36108325,0.32597793,0.31293882,0.36108325,0.00000000,-0.00000000,-0.00000000,Marathonbet,1.46,1.48,1.3,2026-09-11T12:30:44+00:00
1558634,Belgian Pro League,144,2026-09-11T13:40:08Z,2026-09-13T17:15:00Z,3094.9,RAAL La Louvière,Kortrijk,12,Double Chance,1.36,1.53,1.3,0.34071054,0.30285381,0.35643564,0.34071054,0.30285381,0.35643564,0.00000000,0.00000000,0.00000000,Marathonbet,1.37,1.56,1.31,2026-09-11T13:32:18+00:00
1549016,Danish Superliga,119,2026-09-11T13:40:08Z,2026-09-11T17:00:00Z,199.9,FC Copenhagen,AC Horsens,12,Double Chance,1.08,3.25,1.17,0.44338336,0.14733970,0.40927694,0.44338336,0.14733970,0.40927694,-0.00000000,-0.00000000,0.00000000,Marathonbet,1.04,3.42,1.13,2026-09-11T12:00:44+00:00
1549017,Danish Superliga,119,2026-09-11T13:40:08Z,2026-09-13T12:00:00Z,2779.9,Lyngby,Sonderjyske,12,Double Chance,1.17,2.3,1.22,0.40523367,0.20614060,0.38862573,0.40523367,0.20614060,0.38862573,-0.00000000,0.00000000,-0.00000000,Marathonbet,1.15,2.24,1.21,2026-09-11T13:07:17+00:00
1549021,Danish Superliga,119,2026-09-11T13:40:08Z,2026-09-13T12:00:00Z,2779.9,Silkeborg,Viborg,12,Double Chance,1.95,1.25,1.22,0.24047938,0.37514784,0.38437278,0.24047938,0.37514784,0.38437278,0.00000000,-0.00000000,0.00000000,Marathonbet,1.91,1.26,1.23,2026-09-11T13:07:17+00:00
