fixture_id,country,provider_competition_id,competition_name,season,round,kickoff_utc,home_team,away_team,team_id,team_name,player_id,player_name,availability_type,reason,retrieved_at_utc,source_endpoint,temporal_authority,archive_version
1382443,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-09T14:00:00+00:00,Club Brugge KV,Cercle Brugge,569,Club Brugge KV,15683,Gustaf Nilsson,Missing Fixture,Achilles tendon problems,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382443,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-09T14:00:00+00:00,Club Brugge KV,Cercle Brugge,569,Club Brugge KV,301322,Kyriani Sabbe,Missing Fixture,Minor Knock,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382443,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-09T14:00:00+00:00,Club Brugge KV,Cercle Brugge,569,Club Brugge KV,40809,Michal Skoras,Missing Fixture,Minor Knock,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382443,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-09T14:00:00+00:00,Club Brugge KV,Cercle Brugge,741,Cercle Brugge,341969,Heriberto Jurado,Missing Fixture,Minor Knock,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382443,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-09T14:00:00+00:00,Club Brugge KV,Cercle Brugge,741,Cercle Brugge,454418,Abdoul Ouattara,Missing Fixture,Broken leg,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382444,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-09T16:15:00+00:00,KVC Westerlo,KV Mechelen,261,KVC Westerlo,300941,Bi Irie Fernand Goure,Missing Fixture,Knee Problems,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382445,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-09T18:45:00+00:00,Gent,Union St. Gilloise,1393,Union St. Gilloise,19850,Christian Burgess,Missing Fixture,Minor Knock,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382445,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-09T18:45:00+00:00,Gent,Union St. Gilloise,1393,Union St. Gilloise,313353,Promise David,Missing Fixture,Minor Knock,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382445,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-09T18:45:00+00:00,Gent,Union St. Gilloise,631,Gent,278233,Max Dean,Missing Fixture,Ruptured cruciate ligament,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
1382445,Belgium,144,Jupiler Pro League,2025,Regular Season - 3,2025-08-09T18:45:00+00:00,Gent,Union St. Gilloise,631,Gent,2819,Stefan Mitrovic,Missing Fixture,Unknown Injury,2026-09-20T20:27:30Z,/injuries,RETROSPECTIVE_ONLY,PBK_STAGE80_HISTORICAL_LINEUP_INJURY_BACKFILL_V1
