factor,bucket,scope_type,scope_value,matches,sample_band,home_wins,draws,away_wins,home_win_rate,draw_rate,away_win_rate,avg_total_goals,over25_rate,btts_rate,closing_1x2_matches,closing_1x2_avg_source_rows,closing_1x2_b365_source_rows,closing_home_hit_rate,closing_draw_hit_rate,closing_away_hit_rate,avg_market_novig_home,avg_market_novig_draw,avg_market_novig_away,home_calibration_pp,draw_calibration_pp,away_calibration_pp,home_flat_bet_roi_pct,draw_flat_bet_roi_pct,away_flat_bet_roi_pct,closing_total25_matches,closing_total25_avg_source_rows,closing_total25_b365_source_rows,closing_over25_hit_rate,closing_under25_hit_rate,avg_market_novig_over25,avg_market_novig_under25,over25_calibration_pp,under25_calibration_pp,over25_flat_bet_roi_pct,under25_flat_bet_roi_pct,research_only,operational_betting_authority,creates_signal,promotes_factor,probability_mutation,eligibility_mutation,stake_changes,forward_journal_mutation
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,SP1,6,LT50,1,4,1,0.16667,0.66667,0.16667,1.667,0.33333,0.5,6,6,0,0.16667,0.66667,0.16667,0.42976,0.25458,0.31566,-26.309,41.209,-14.899,-78.5,130.667,-55.333,6,6,0,0.33333,0.66667,0.51991,0.48009,-18.658,18.658,-50.833,17.5,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE,T1,4,LT50,0,3,1,0.0,0.75,0.25,2.75,0.5,0.75,4,4,0,0.0,0.75,0.25,0.35886,0.2894,0.35174,-35.886,46.06,-10.174,-100.0,138.75,-48.0,4,4,0,0.5,0.5,0.47515,0.52485,2.485,-2.485,-7.75,-16.0,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE_SEASON,AUT|2024,1,LT50,1,0,0,1.0,0.0,0.0,3.0,1.0,1.0,1,1,0,1.0,0.0,0.0,0.54765,0.22808,0.22428,45.235,-22.808,-22.428,72.0,-100.0,-100.0,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE_SEASON,E0|2020,2,LT50,1,0,1,0.5,0.0,0.5,5.0,1.0,1.0,2,2,0,0.5,0.0,0.5,0.37894,0.22162,0.39944,12.106,-22.162,10.056,-22.0,-100.0,-25.5,2,2,0,1.0,0.0,0.5234,0.4766,47.66,-47.66,83.0,-100.0,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE_SEASON,F1|2017,1,LT50,0,1,0,0.0,1.0,0.0,2.0,0.0,1.0,0,0,0,,,,,,,,,,,,,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE_SEASON,F1|2020,1,LT50,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0.0,0.0,1.0,0.69064,0.18329,0.12607,-69.064,-18.329,87.393,-100.0,-100.0,656.0,1,1,0,0.0,1.0,0.62469,0.37531,-62.469,62.469,-100.0,153.0,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE_SEASON,F1|2021,1,LT50,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0.0,0.0,1.0,0.23189,0.22965,0.53846,-23.189,-22.965,46.154,-100.0,-100.0,77.0,1,1,0,0.0,1.0,0.64407,0.35593,-64.407,64.407,-100.0,166.0,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE_SEASON,I1|2017,1,LT50,0,1,0,0.0,1.0,0.0,4.0,1.0,1.0,0,0,0,,,,,,,,,,,,,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE_SEASON,N1|2020,1,LT50,0,1,0,0.0,1.0,0.0,2.0,0.0,1.0,1,1,0,0.0,1.0,0.0,0.22963,0.24767,0.5227,-22.963,75.233,-52.27,-100.0,282.0,-100.0,1,1,0,0.0,1.0,0.57841,0.42159,-57.841,57.841,-100.0,125.0,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE_SEASON,N1|2021,1,LT50,0,0,1,0.0,0.0,1.0,4.0,1.0,0.0,1,1,0,0.0,0.0,1.0,0.56237,0.2388,0.19883,-56.237,-23.88,80.117,-100.0,-100.0,378.0,1,1,0,1.0,0.0,0.58205,0.41795,41.795,-41.795,63.0,-100.0,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE_SEASON,NOR|2017,2,LT50,2,0,0,1.0,0.0,0.0,4.0,0.5,0.5,2,2,0,1.0,0.0,0.0,0.52042,0.25973,0.21984,47.958,-25.973,-21.984,81.0,-100.0,-100.0,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
FIRST_DOMESTIC_AFTER_SIDE,AWAY_ONLY,LEAGUE_SEASON,NOR|2020,2,LT50,1,0,1,0.5,0.0,0.5,3.0,1.0,0.5,2,2,0,0.5,0.0,0.5,0.34697,0.2421,0.41093,15.303,-24.21,8.907,7.0,-100.0,-8.0,0,0,0,,,,,,,,,true,false,false,false,false,false,false,false
