team_id,team_name,player_id,player_name,injury_fixture_id,injury_kickoff_utc,return_fixture_id,return_kickoff_utc,fixtures_between_captured,return_as_starter,prior_player_quality,prior_quality_matches,return_team_points,return_team_goal_diff,temporal_authority,prematch_observation_time_known,validation_authority,research_only
618,SCR Altach,25612,Lukas Jager,1390041,2025-08-17T15:00:00+00:00,1390053,2025-08-31T15:00:00+00:00,1,YES,5.95,1,0,-1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
618,SCR Altach,161087,Ousmane Diawara,1390053,2025-08-31T15:00:00+00:00,1390055,2025-09-13T15:00:00+00:00,0,YES,4.88,4,3,1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
618,SCR Altach,7677,Benedikt Zech,1390053,2025-08-31T15:00:00+00:00,1390055,2025-09-13T15:00:00+00:00,0,YES,6.298,4,3,1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
618,SCR Altach,7441,Vesel Demaku,1390053,2025-08-31T15:00:00+00:00,1390131,2026-02-08T13:30:00+00:00,12,YES,4.864,5,3,1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
1028,Ried,323119,Jonas Mayer,1390040,2025-08-16T17:30:00+00:00,1390044,2025-08-23T15:00:00+00:00,0,YES,3.82,1,3,2.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
1028,Ried,26111,Saliou Sane,1390033,2025-08-09T15:00:00+00:00,1531284,2026-05-16T15:00:00+00:00,29,YES,4.46,1,0,-2.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
571,Red Bull Salzburg,288073,Sota Kitano,1390038,2025-08-16T15:00:00+00:00,1390045,2025-08-23T15:00:00+00:00,0,YES,5.27,1,3,3.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
571,Red Bull Salzburg,288073,Sota Kitano,1390045,2025-08-23T15:00:00+00:00,1390050,2025-08-30T15:00:00+00:00,0,YES,5.095,2,1,0.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
571,Red Bull Salzburg,280335,Frans Kratzig,1390050,2025-08-30T15:00:00+00:00,1390059,2025-09-13T15:00:00+00:00,0,YES,5.26,1,0,-2.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
571,Red Bull Salzburg,381810,Moussa Yeo,1390034,2025-08-09T17:30:00+00:00,1390066,2025-09-20T15:00:00+00:00,4,YES,5.14,1,0,-2.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
571,Red Bull Salzburg,25928,K. Onisiwo,1390072,2025-09-28T12:30:00+00:00,1399969,2025-10-19T12:30:00+00:00,1,YES,5.45,1,1,0.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
571,Red Bull Salzburg,445566,Christian Zawieschitzky,1390038,2025-08-16T15:00:00+00:00,1390092,2025-11-02T13:30:00+00:00,8,YES,,0,3,3.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
571,Red Bull Salzburg,331865,Karim Konate,1390050,2025-08-30T15:00:00+00:00,1390127,2026-02-06T19:30:00+00:00,12,YES,,0,0,-2.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
571,Red Bull Salzburg,361981,A. Chase,1390050,2025-08-30T15:00:00+00:00,1531233,2026-03-20T18:30:00+00:00,18,YES,6.07,1,1,0.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
4256,Grazer AK,7587,Tobias Koch,1390030,2025-08-03T15:00:00+00:00,1390034,2025-08-09T17:30:00+00:00,0,YES,4.71,1,0,-5.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
601,Austria Vienna,968,Aleksandar Dragovic,1390042,2025-08-17T15:00:00+00:00,1390048,2025-08-24T15:00:00+00:00,0,YES,5.72,1,0,-2.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
601,Austria Vienna,968,Aleksandar Dragovic,1390048,2025-08-24T15:00:00+00:00,1390053,2025-08-31T15:00:00+00:00,0,YES,5.865,2,3,1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
601,Austria Vienna,7353,T. Plavotić,1390058,2025-09-14T15:00:00+00:00,1390093,2025-11-01T16:00:00+00:00,5,YES,5.56,3,0,-1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
601,Austria Vienna,224669,Lee Kang-Hee,1390053,2025-08-31T15:00:00+00:00,1390098,2025-11-08T16:00:00+00:00,7,YES,5.317,4,3,1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
601,Austria Vienna,7139,Johannes Handl,1390053,2025-08-31T15:00:00+00:00,1531234,2026-03-22T13:30:00+00:00,18,YES,5.0,2,3,1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
601,Austria Vienna,263813,Kelvin Boateng,1390048,2025-08-24T15:00:00+00:00,1531241,2026-04-12T15:00:00+00:00,21,YES,5.205,2,1,0.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
1394,FC BW Linz,7212,Christopher Cvetko,1390031,2025-08-03T15:00:00+00:00,1390043,2025-08-17T15:00:00+00:00,1,YES,4.2,1,0,-3.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
1394,FC BW Linz,7254,Paul Mensah,1390031,2025-08-03T15:00:00+00:00,1390044,2025-08-23T15:00:00+00:00,2,YES,4.64,1,0,-2.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
1394,FC BW Linz,271395,Alexander Briedl,1390044,2025-08-23T15:00:00+00:00,1390056,2025-09-13T15:00:00+00:00,1,YES,4.26,1,3,3.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
1394,FC BW Linz,7131,Ronivaldo Bernardo Sales,1390050,2025-08-30T15:00:00+00:00,1390068,2025-09-27T15:00:00+00:00,2,YES,4.567,3,3,1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
1394,FC BW Linz,161820,Nico Maier,1390050,2025-08-30T15:00:00+00:00,1390114,2025-12-06T16:00:00+00:00,10,YES,4.79,3,0,-2.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
781,Rapid Vienna,428779,Nikolaus Wurmbrand,1390031,2025-08-03T15:00:00+00:00,1390047,2025-08-24T15:00:00+00:00,2,YES,,0,3,1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
781,Rapid Vienna,339985,J. Schöller,1390095,2025-11-02T16:00:00+00:00,1390123,2025-12-14T13:30:00+00:00,4,YES,,0,1,0.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
1072,TSV Hartberg,7757,Jurgen Heil,1390038,2025-08-16T15:00:00+00:00,1390054,2025-08-31T15:00:00+00:00,1,YES,5.0,1,0,-1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
1072,TSV Hartberg,278992,Maximilian Fillafer,1390032,2025-08-09T15:00:00+00:00,1390071,2025-09-28T12:30:00+00:00,5,YES,6.0,1,0,-1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
1072,TSV Hartberg,77623,Youba Diarra,1390048,2025-08-24T15:00:00+00:00,1390117,2025-12-06T16:00:00+00:00,11,YES,5.94,1,1,0.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
1072,TSV Hartberg,169509,Paul Komposch,1390054,2025-08-31T15:00:00+00:00,1531258,2026-05-17T12:30:00+00:00,26,YES,,0,3,2.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
1398,WSG Wattens,7134,Alexander Eckmayr,1399967,2025-08-02T15:00:00+00:00,1390138,2026-02-22T13:30:00+00:00,18,YES,,0,1,0.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
1398,WSG Wattens,169323,Lukas Sulzbacher,1399968,2025-08-31T15:00:00+00:00,1390149,2026-03-01T16:00:00+00:00,16,YES,,0,3,1.0,RETROSPECTIVE_ONLY,NO,RETURN_RECONSTRUCTION_ONLY,YES
