api_fixture_id,league,league_id,captured_at_utc,kickoff_utc,home_team,away_team,bet_id,bet_name,line,open_b365_f1_0,open_b365_f2_0,open_p_f1_0,open_p_f2_0,status,source
1552165,Eredivisie,88,2026-09-11T14:03:50Z,2026-09-12T18:00:00Z,Fortuna Sittard,Ajax,4,Asian Handicap,0,4.65,1.18,0.20240137,0.79759863,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1552168,Eredivisie,88,2026-09-11T14:03:50Z,2026-09-12T19:00:00Z,Cambuur,NEC Nijmegen,4,Asian Handicap,0,3.9,1.24,0.24124514,0.75875486,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1552167,Eredivisie,88,2026-09-11T14:03:50Z,2026-09-13T10:15:00Z,Excelsior,Utrecht,4,Asian Handicap,0,1.65,2.2,0.57142857,0.42857143,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1552166,Eredivisie,88,2026-09-11T14:03:50Z,2026-09-13T12:30:00Z,Heerenveen,Telstar,4,Asian Handicap,0,1.27,3.55,0.73651452,0.26348548,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1552170,Eredivisie,88,2026-09-11T14:03:50Z,2026-09-13T14:45:00Z,PEC Zwolle,Feyenoord,4,Asian Handicap,0,4.65,1.18,0.20240137,0.79759863,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1494760,Eliteserien,103,2026-09-11T14:03:50Z,2026-09-12T14:00:00Z,Lillestrom,Valerenga,4,Asian Handicap,0,1.45,2.68,0.64891041,0.35108959,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1494761,Eliteserien,103,2026-09-11T14:03:50Z,2026-09-12T16:00:00Z,Rosenborg,Tromso,4,Asian Handicap,0,1.3,3.45,0.72631579,0.27368421,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1494763,Eliteserien,103,2026-09-11T14:03:50Z,2026-09-13T12:30:00Z,Viking,Kristiansund BK,4,Asian Handicap,0,1.1,6.8,0.86075949,0.13924051,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1494762,Eliteserien,103,2026-09-11T14:03:50Z,2026-09-13T15:00:00Z,Start,Brann,4,Asian Handicap,0,2.5,1.5,0.37500000,0.62500000,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
1494759,Eliteserien,103,2026-09-11T14:03:50Z,2026-09-13T15:00:00Z,KFUM Oslo,Aalesund,4,Asian Handicap,0,1.78,2.02,0.53157895,0.46842105,FROZEN,API-Football Bet365 first complete full-time Asian Handicap line 0 pair captured prospectively
