season,player_id,team_id,team_name,status,attempts,last_attempt_at_utc,last_error
2026,314232,111,Le Havre,EMPTY,1,2026-09-18T18:55:41Z,
2026,31532,1579,Monza,EMPTY,1,2026-09-18T18:55:41Z,
2026,31982,512,Frosinone,EMPTY,1,2026-09-18T18:55:41Z,
2026,322984,116,Lens,EMPTY,1,2026-09-18T18:55:41Z,
2026,327726,55,Brentford,EMPTY,1,2026-09-18T18:55:41Z,
2026,328116,63,Leeds,EMPTY,1,2026-09-18T18:55:41Z,
2026,329345,65,Nottingham Forest,EMPTY,1,2026-09-18T18:55:41Z,
2026,329358,65,Nottingham Forest,EMPTY,1,2026-09-18T18:55:41Z,
2026,331551,64,Hull City,EMPTY,1,2026-09-18T18:55:41Z,
2026,332305,531,Athletic Club,EMPTY,1,2026-09-18T18:55:41Z,
2026,336580,489,AC Milan,EMPTY,1,2026-09-18T18:55:41Z,
2026,336928,489,AC Milan,EMPTY,1,2026-09-18T18:55:41Z,
2026,338295,539,Levante,EMPTY,1,2026-09-18T18:55:41Z,
2026,338958,529,Barcelona,EMPTY,1,2026-09-18T18:55:41Z,
2026,340089,167,1899 Hoffenheim,EMPTY,1,2026-09-18T18:55:41Z,
2026,340179,867,Lecce,EMPTY,1,2026-09-18T18:55:41Z,
2026,342172,164,FSV Mainz 05,EMPTY,1,2026-09-18T18:55:41Z,
2026,343159,170,FC Augsburg,EMPTY,1,2026-09-18T18:55:41Z,
2026,348818,42,Arsenal,CAPTURED,1,2026-09-18T18:55:41Z,
2026,349631,1298,Le Mans,EMPTY,1,2026-09-18T18:55:41Z,
2026,351084,163,Borussia Mönchengladbach,CAPTURED,1,2026-09-18T18:55:41Z,
2026,351324,512,Frosinone,EMPTY,1,2026-09-18T18:55:41Z,
2026,353950,164,FSV Mainz 05,EMPTY,1,2026-09-18T18:55:41Z,
2026,353968,65,Nottingham Forest,EMPTY,1,2026-09-18T18:55:41Z,
2026,355955,111,Le Havre,EMPTY,1,2026-09-18T18:55:41Z,
2026,356041,33,Manchester United,EMPTY,1,2026-09-18T18:55:41Z,
2026,356353,157,Bayern München,EMPTY,1,2026-09-18T18:55:41Z,
2026,357238,65,Nottingham Forest,EMPTY,1,2026-09-18T18:55:41Z,
2026,360268,66,Aston Villa,CAPTURED,1,2026-09-18T18:55:41Z,
2026,362795,170,FC Augsburg,EMPTY,1,2026-09-18T18:55:41Z,
2026,363998,55,Brentford,EMPTY,1,2026-09-18T18:55:41Z,
2026,365266,169,Eintracht Frankfurt,EMPTY,1,2026-09-18T18:55:41Z,
2026,365988,34,Newcastle,EMPTY,1,2026-09-18T18:55:41Z,
2026,368030,35,Bournemouth,EMPTY,1,2026-09-18T18:55:41Z,
2026,36922,55,Brentford,EMPTY,1,2026-09-18T18:55:41Z,
2026,37236,57,Ipswich,EMPTY,1,2026-09-18T18:55:41Z,
2026,374361,91,Monaco,EMPTY,1,2026-09-18T18:55:41Z,
2026,379068,496,Juventus,EMPTY,1,2026-09-18T18:55:41Z,
2026,380663,65,Nottingham Forest,EMPTY,1,2026-09-18T18:55:41Z,
2026,380854,174,FC Schalke 04,EMPTY,1,2026-09-18T18:55:41Z,
2026,380937,175,Hamburger SV,EMPTY,1,2026-09-18T18:55:41Z,
2026,383018,49,Chelsea,CAPTURED,1,2026-09-18T18:55:41Z,
2026,383026,490,Cagliari,EMPTY,1,2026-09-18T18:55:41Z,
2026,383685,51,Brighton,EMPTY,1,2026-09-18T18:55:41Z,
2026,383770,33,Manchester United,EMPTY,1,2026-09-18T18:55:41Z,
2026,383771,65,Nottingham Forest,EMPTY,1,2026-09-18T18:55:41Z,
2026,385383,539,Levante,EMPTY,1,2026-09-18T18:55:41Z,
2026,387306,167,1899 Hoffenheim,EMPTY,1,2026-09-18T18:55:41Z,
2026,388547,492,Napoli,EMPTY,1,2026-09-18T18:55:41Z,
2026,389322,114,Paris FC,EMPTY,1,2026-09-18T18:55:41Z,
2026,392279,499,Atalanta,EMPTY,1,2026-09-18T18:55:41Z,
2026,393193,55,Brentford,CAPTURED,1,2026-09-18T18:55:41Z,
2026,393926,495,Genoa,EMPTY,1,2026-09-18T18:55:41Z,
2026,395025,64,Hull City,CAPTURED,1,2026-09-18T18:55:41Z,
2026,395773,34,Newcastle,CAPTURED,1,2026-09-18T18:55:41Z,
2026,395808,111,Le Havre,EMPTY,1,2026-09-18T18:55:41Z,
2026,399903,97,Lorient,EMPTY,1,2026-09-18T18:55:41Z,
2026,401389,34,Newcastle,EMPTY,1,2026-09-18T18:55:41Z,
2026,402280,530,Atletico Madrid,CAPTURED,1,2026-09-18T18:55:41Z,
2026,402330,33,Manchester United,EMPTY,1,2026-09-18T18:55:41Z,
2026,402434,35,Bournemouth,CAPTURED,1,2026-09-18T18:55:41Z,
2026,403066,45,Everton,CAPTURED,1,2026-09-18T18:55:41Z,
2026,403221,42,Arsenal,CAPTURED,1,2026-09-18T18:55:41Z,
2026,403554,546,Getafe,EMPTY,1,2026-09-18T18:55:41Z,
2026,407017,84,Nice,CAPTURED,1,2026-09-18T18:55:41Z,
2026,407026,33,Manchester United,EMPTY,1,2026-09-18T18:55:41Z,
2026,407034,35,Bournemouth,EMPTY,1,2026-09-18T18:55:41Z,
