entity_id,entity_type,rule_or_stage,api_fixture_id,league,home_team,away_team,kickoff_utc,event_time_utc,event_type,status,selection,bookmaker,odds,details
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T07:41:54Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T08:43:58Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T09:42:46Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T10:41:54Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T11:41:33Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T12:46:32Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T12:57:41Z,WEATHER_SNAPSHOT,,П2,,,temp=23.2C precip=0%
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T13:14:33Z,CONTEXT_SNAPSHOT,NS,П2,,,T24; lineups=NO; injuries=34
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T13:42:00Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T14:43:05Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
R1|I1|1550124,CANONICAL,R1,1550124,Serie A,Sassuolo,Juventus,2026-09-13T18:45:00Z,2026-09-12T15:41:50Z,ODDS_SNAPSHOT,NS,П2,,,Pre-kickoff odds snapshot
