provider_league_id,league_name,country,referee,matches,season_count,first_date,last_date,unique_teams,home_wins,draws,away_wins,home_win_pct,draw_pct,away_win_pct,goal_observed_matches,total_goals,goals_per_observed_match,source_scope,cards_available,fouls_available,penalties_available,research_only,operational_betting_authority
140,La Liga,Spain,A. Ruiz,10,1,2026-01-31,2026-05-17,14,6,2,2,60.0,20.0,20.0,10,32,3.2,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Adrian Cordero Vega, Spain",29,3,2018-08-20,2025-12-21,23,12,11,6,41.38,37.93,20.69,29,62,2.138,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,Adrián Cordero,75,4,2019-08-17,2025-05-18,26,38,23,14,50.67,30.67,18.67,75,202,2.693,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Alberto Undiano, Spain",40,2,2017-08-27,2019-05-19,23,14,11,15,35.0,27.5,37.5,40,89,2.225,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Alejandro Hernandez, Spain",65,4,2017-08-19,2026-01-10,27,30,17,18,46.15,26.15,27.69,65,217,3.338,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,Alejandro Hernández,93,5,2019-08-24,2025-05-18,26,32,34,27,34.41,36.56,29.03,93,233,2.505,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Alejandro Muniz Ruiz, Spain",18,1,2023-08-20,2024-05-24,18,11,4,3,61.11,22.22,16.67,18,45,2.5,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,Alejandro Muñiz,57,3,2021-08-21,2025-05-24,24,24,17,16,42.11,29.82,28.07,57,157,2.754,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Alejandro Muñiz Ruiz, Spain",8,1,2025-08-15,2026-01-10,12,6,2,0,75.0,25.0,0.0,8,25,3.125,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,Alejandro Quintero,19,1,2024-08-16,2025-05-13,17,9,3,7,47.37,15.79,36.84,19,50,2.632,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Alejandro Quintero Gonzalez, Spain",10,1,2025-08-24,2025-12-19,14,2,5,3,20.0,50.0,30.0,10,27,2.7,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Alejandro Ruiz Aguilera, Spain",1,1,2023-09-26,2023-09-26,2,0,1,0,0.0,100.0,0.0,1,4,4.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Alexander Gonzalez Gonzalez, Spain",1,1,2018-02-11,2018-02-11,2,0,1,0,0.0,100.0,0.0,1,4,4.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Alfonso Alvarez Izquierdo, Spain",16,1,2017-08-21,2018-05-20,16,7,5,4,43.75,31.25,25.0,16,40,2.5,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Antonio Alberola Rojas, Spain",1,1,2023-08-11,2023-08-11,2,0,0,1,0.0,0.0,100.0,1,2,2.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,Antonio Mateu,78,4,2019-08-24,2023-06-04,22,41,15,22,52.56,19.23,28.21,78,142,1.821,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Antonio Mateu, Spain",37,3,2017-08-19,2020-07-19,22,18,11,8,48.65,29.73,21.62,37,97,2.622,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,C. Soto Grado,9,1,2026-01-24,2026-05-10,15,2,5,2,22.22,55.56,22.22,9,21,2.333,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,Carlos Del Cerro,38,2,2019-08-16,2021-05-16,19,12,14,12,31.58,36.84,31.58,38,106,2.789,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Carlos Del Cerro Grande, Spain",40,4,2017-08-26,2021-05-22,20,15,11,14,37.5,27.5,35.0,40,113,2.825,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,Carlos del Cerro,40,2,2021-08-21,2023-06-04,18,16,12,12,40.0,30.0,30.0,40,97,2.425,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Cesar Soto Grado, Spain",21,1,2023-08-13,2024-05-19,18,11,9,1,52.38,42.86,4.76,21,52,2.476,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,César Soto,102,5,2019-08-18,2025-05-24,27,54,25,23,52.94,24.51,22.55,102,272,2.667,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"César Soto Grado, Spain",10,1,2025-08-23,2026-01-11,16,5,3,2,50.0,30.0,20.0,10,26,2.6,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Daniel Jesus Trujillo Suarez, Spain",19,1,2017-08-20,2018-05-19,18,9,3,7,47.37,15.79,36.84,19,50,2.632,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"David Fernandez Borbalan, Spain",18,1,2017-08-27,2018-05-20,17,7,6,5,38.89,33.33,27.78,18,45,2.5,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"David Medie Jimenez, Spain",33,3,2017-08-21,2021-05-23,21,18,9,6,54.55,27.27,18.18,33,86,2.606,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,David Medié,37,3,2019-03-17,2021-05-09,21,14,10,13,37.84,27.03,35.14,37,99,2.676,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,Eduardo Prieto,18,1,2019-08-25,2020-07-16,15,8,4,6,44.44,22.22,33.33,18,36,2.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Eduardo Prieto Iglesias, Spain",19,1,2018-08-19,2019-04-28,18,8,6,5,42.11,31.58,26.32,19,45,2.368,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,F. Maeso,9,1,2026-01-24,2026-05-23,15,7,0,2,77.78,0.0,22.22,9,19,2.111,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Francisco Hernandez Maeso, Spain",25,2,2023-08-12,2026-01-09,23,9,9,7,36.0,36.0,28.0,25,69,2.76,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,Francisco Hernández,19,1,2024-08-16,2025-05-18,18,10,3,6,52.63,15.79,31.58,19,53,2.789,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,G. Cuadra,9,1,2026-01-18,2026-05-17,13,4,5,0,44.44,55.56,0.0,9,24,2.667,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,Gil Manzano,19,1,2024-08-24,2025-05-25,18,10,3,6,52.63,15.79,31.58,19,50,2.632,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,Guillermo Cuadra,91,5,2019-08-18,2025-05-24,25,40,18,33,43.96,19.78,36.26,91,250,2.747,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Guillermo Cuadra Fernandez, Spain",48,5,2018-08-17,2026-01-10,27,22,14,12,45.83,29.17,25.0,48,132,2.75,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,I. Diaz,10,1,2026-01-18,2026-05-17,15,4,1,5,40.0,10.0,50.0,10,29,2.9,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,I. Galech,8,1,2026-02-01,2026-05-17,12,1,3,4,12.5,37.5,50.0,8,27,3.375,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Ignacio Iglesias Villanueva, Spain",40,3,2017-08-26,2023-12-02,21,19,9,12,47.5,22.5,30.0,40,104,2.6,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Iosu Galech Apezteguia, Spain",11,1,2025-08-17,2026-01-16,15,3,3,5,27.27,27.27,45.45,11,22,2.0,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Isidro Diaz de Mera Escuderos, Spain",29,3,2021-05-23,2026-01-03,22,9,7,13,31.03,24.14,44.83,29,81,2.793,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,Isidro Díaz de Mera,74,4,2020-09-12,2025-05-18,27,29,24,21,39.19,32.43,28.38,74,187,2.527,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,J. Alberola,10,1,2026-01-25,2026-05-17,13,7,2,1,70.0,20.0,10.0,10,25,2.5,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,J. Guzman,8,1,2026-01-17,2026-05-12,12,5,1,2,62.5,12.5,25.0,8,29,3.625,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,J. Manzano,9,1,2026-01-18,2026-05-23,16,6,1,2,66.67,11.11,22.22,9,32,3.556,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,J. Martinez,10,1,2026-01-25,2026-05-23,13,7,1,2,70.0,10.0,20.0,10,31,3.1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,J. Munuera,11,1,2026-01-23,2026-05-23,14,5,2,4,45.45,18.18,36.36,11,32,2.909,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,J. Sanchez,10,1,2026-01-25,2026-05-23,13,6,2,2,60.0,20.0,20.0,10,21,2.1,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,Javier Alberola,94,5,2019-08-17,2025-05-25,26,44,28,22,46.81,29.79,23.4,94,251,2.67,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Javier Alberola Rojas, Spain",66,5,2017-08-26,2026-01-04,29,26,16,24,39.39,24.24,36.36,66,194,2.939,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,Javier Estrada,42,2,2019-08-17,2021-05-21,21,18,9,15,42.86,21.43,35.71,42,109,2.595,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Javier Estrada Fernandez, Spain",39,2,2017-08-25,2019-05-18,20,16,11,12,41.03,28.21,30.77,39,115,2.949,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,Javier Iglesias,20,1,2022-08-15,2023-05-28,19,8,5,7,40.0,25.0,35.0,20,37,1.85,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Javier Iglesias Villanueva, Spain",19,1,2023-08-18,2024-05-26,16,8,5,6,42.11,26.32,31.58,19,46,2.421,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Jesus Gil Manzano, Spain",67,5,2017-08-18,2025-12-13,28,31,18,18,46.27,26.87,26.87,67,202,3.015,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,Jesús Gil,78,4,2019-08-17,2023-06-04,23,31,25,22,39.74,32.05,28.21,78,205,2.628,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,Jorge Figueroa,55,3,2020-09-19,2023-05-28,20,25,15,15,45.45,27.27,27.27,55,135,2.455,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
140,La Liga,Spain,"Jorge Figueroa Vazquez, Spain",21,2,2021-05-22,2024-05-18,15,10,6,5,47.62,28.57,23.81,21,39,1.857,TOP5_9_SEASONS_API_FOOTBALL,false,false,false,true,false
